PENJENISAN IKAN DAN UDANG;;;;;;;;;;;;;;;;;;;;;
DI TPI KABUPATEN CILACAP;;;;;;;;;;;;;;;;;;;;;
BULAN : DESEMBER 2017;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
NO;NAMA IKAN;KEMIREN;;SENTOLO KAWAT;;SIDAKAYA;;TEGAL KATILAYU;;LENGKONG;;;;;;;;;;;
;;Kg;Rp.;Kg;Rp.;Kg;Rp.;Kg;Rp.;Kg;Rp.;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
1;UDANG JERBUNG;;;;;4.467,70;690.330.400,00;;;;;;;;;;;;;;
2;UDANG DOGOL;132,30;13.230.000,00;;;529,30;51.824.200,00;;;;;;;;;;;;;;
3;UDANG TIGER;;;;;;;;;;;;;;;;;;;;
4;UDANG PECI;;;;;3.689,20;415.139.000,00;;;;;;;;;;;;;;
5;UDANG BARAT;80,00;2.720.000,00;;;;;;;2.571,00;73.694.500,00;;;;;;;;;;
6;UDANG REBON;5.150,00;83.675.000,00;55.437,00;277.185.000,00;;;10.334,00;174.617.500,00;30,00;320.000,00;;;;;;;;;;
7;UDANG KROSOK;998,00;34.930.000,00;;;;;754,60;34.870.500,00;36,00;1.080.000,00;;;;;;;;;;
8;BAWAL PUTIH;;;;;;;;;;;;;;;;;;;;
9;BAWAL HITAM;;;;;;;;;;;;;;;;;;;;
10;BLANAK;;;;;;;;;;;;;;;;;;;;
11;BALENG;;;;;;;;;;;;;;;;;;;;
12;CUCUT;;;;;;;;;;;;;;;;;;;;
13;CERMING;;;;;;;;;;;;;;;;;;;;
14;CAKALANG;;;;;;;;;;;;;;;;;;;;
15;CUMI - CUMI;;;;;;;;;;;;;;;;;;;;
16;KERONG;;;;;;;;;;;;;;;;;;;;
17;ETONG;;;;;;;;;;;;;;;;;;;;
18;GEROK;;;;;;;;;;;;;;;;;;;;
19;GOGOKAN;;;;;;;;;;;;;;;;;;;;
20;GEMBUNG;;;;;;;;;;;;;;;;;;;;
21;GABEL;;;;;;;;;;;;;;;;;;;;
22;KAKAP;;;;;;;;;39,30;1.054.000,00;;;;;;;;;;
23;KACANGAN;;;;;;;;;;;;;;;;;;;;
24;KEONG;;;;;;;;;;;;;;;;;;;;
25;LAYARAN;;;;;;;;;;;;;;;;;;;;
26;LAYUR;46,50;604.500,00;;;;;;;2.539,00;106.701.750,00;;;;;;;;;;
27;LEMERU / SIRO;;;;;;;;;;;;;;;;;;;;
28;LEMADANG;;;;;;;;;;;;;;;;;;;;
29;LIDAH;2.416,50;24.165.000,00;;;;;;;51,00;510.000,00;;;;;;;;;;
30;LEMBUTAN;;;14.782,00;29.579.000,00;;;;;;;;;;;;;;;;
31;MANYUNG;;;;;;;;;;;;;;;;;;;;
32;MEKA;;;;;;;;;;;;;;;;;;;;
33;MONTOK;3.295,20;32.952.000,00;;;;;;;;;;;;;;;;;;
34;MAMUNG;;;;;;;;;;;;;;;;;;;;
35;PARI / PEH;;;;;;;;;27,00;108.000,00;;;;;;;;;;
36;RAJUNGAN;;;;;;;;;;;;;;;;;;;;
37;RIJEK;;;;;;;;;;;;;;;;;;;;
38;SONGOT / JAHAN;;;;;;;;;251,00;3.765.000,00;;;;;;;;;;
39;TONGKOL BAKOR;;;;;;;;;23,00;345.000,00;;;;;;;;;;
40;TONGKOL JABRIK;276,30;7.736.400,00;;;;;;;;;;;;;;;;;;
41;TONGKOL TUNA;;;;;;;;;;;;;;;;;;;;
42;TENGIRI;;;;;;;;;;;;;;;;;;;;
43;TANJAN;;;;;;;;;;;;;;;;;;;;
44;TERI;;;;;;;;;;;;;;;;;;;;
45;UBUR - UBUR;;;;;;;;;;;;;;;;;;;;
46;LAIN - LAIN;2.845,10;7.830.600,00;;;;;3.003,70;34.126.370,00;26,00;199.250,00;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;Jumlah;15.239,90;207.843.500,00;70.219,00;306.764.000,00;8.686,20;1.157.293.600,00;14.092,30;243.614.370,00;5.593,30;187.777.500,00;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
PENJENISAN IKAN DAN UDANG;;;;;;;;;;;;;;;;;;;;;
DI TPI KABUPATEN CILACAP;;;;;;;;;;;;;;;;;;;;;
BULAN : DESEMBER 2017;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
NO;NAMA IKAN;PPSC;;B. DONAN / BATRE;;PANDANARANG;;JUMLAH;;JUMLAH S/D BLN INI;;;;;;;;;;;
;;Kg;Rp.;;;Kg;Rp.;Kg;Rp.;Kg;Rp.;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
1;UDANG JERBUNG;1.931,70;289.031.600,00;;;;;6.399,40;979.362.000,00;89.496,30;15.686.336.184,00;;;;;;;;;;
2;UDANG DOGOL;1.018,30;69.811.900,00;;;;;1.679,90;134.866.100,00;31.868,60;1.890.649.326,00;;;;;;;;;;
3;UDANG TIGER;;;;;;;0,00;0,00;97,70;19.712.400,00;;;;;;;;;;
4;UDANG PECI;763,60;79.072.500,00;;;;;4.452,80;494.211.500,00;49.950,70;5.231.997.690,00;;;;;;;;;;
5;UDANG BARAT;;;;;;;2.651,00;76.414.500,00;9.250,70;231.315.400,00;;;;;;;;;;
6;UDANG REBON;;;;;;;70.951,00;535.797.500,00;3.157.849,70;18.774.387.550,00;;;;;;;;;;
7;UDANG KROSOK;;;;;;;1.788,60;70.880.500,00;592.802,10;8.555.326.375,00;;;;;;;;;;
8;BAWAL PUTIH;;;;;2.485,50;203.985.200,00;2.485,50;203.985.200,00;8.068,40;1.057.922.060,00;;;;;;;;;;
9;BAWAL HITAM;;;;;;;0,00;0,00;6.816,90;225.950.500,00;;;;;;;;;;
10;BLANAK;;;;;;;0,00;0,00;150,00;750.000,00;;;;;;;;;;
11;BALENG;;;;;;;0,00;0,00;329,50;9.092.000,00;;;;;;;;;;
12;CUCUT;7.165,00;32.585.000,00;;;;;7.165,00;32.585.000,00;554.436,00;2.275.792.000,00;;;;;;;;;;
13;CERMING;;;;;;;0,00;0,00;0,00;0,00;;;;;;;;;;
14;CAKALANG;;;38.975,00;233.850.000,00;;;38.975,00;233.850.000,00;351.635,00;2.033.128.200,00;;;;;;;;;;
15;CUMI - CUMI;3.800,00;19.000.000,00;22.000,00;110.000.000,00;;;25.800,00;129.000.000,00;323.254,00;1.581.152.000,00;;;;;;;;;;
16;KERONG;;;;;;;0,00;0,00;0,00;0,00;;;;;;;;;;
17;ETONG;;;;;;;0,00;0,00;118,00;354.000,00;;;;;;;;;;
18;GEROK;;;;;;;0,00;0,00;208,00;5.260.000,00;;;;;;;;;;
19;GOGOKAN;;;;;;;0,00;0,00;5.898,90;67.009.000,00;;;;;;;;;;
20;GEMBUNG;;;;;;;0,00;0,00;151,50;3.807.500,00;;;;;;;;;;
21;GABEL;;;;;12,00;36.000,00;12,00;36.000,00;3.724,50;8.603.500,00;;;;;;;;;;
22;KAKAP;;;;;;;39,30;1.054.000,00;180,30;5.239.000,00;;;;;;;;;;
23;KACANGAN;;;;;;;0,00;0,00;3.075,60;48.197.950,00;;;;;;;;;;
24;KEONG;;;;;;;0,00;0,00;0,00;0,00;;;;;;;;;;
25;LAYARAN;;;;;;;0,00;0,00;34.318,00;187.568.000,00;;;;;;;;;;
26;LAYUR;;;1.354,60;13.546.000,00;715,30;17.882.500,00;4.655,40;138.734.750,00;143.165,10;2.996.788.050,00;;;;;;;;;;
27;LEMERU / SIRO;;;;;;;0,00;0,00;0,00;0,00;;;;;;;;;;
28;LEMADANG;;;;;;;0,00;0,00;24.645,00;122.475.000,00;;;;;;;;;;
29;LIDAH;;;;;;;2.467,50;24.675.000,00;50.907,50;490.100.800,00;;;;;;;;;;
30;LEMBUTAN;;;;;78,00;78.000,00;14.860,00;29.657.000,00;171.125,00;365.753.750,00;;;;;;;;;;
31;MANYUNG;;;;;;;0,00;0,00;0,00;0,00;;;;;;;;;;
32;MEKA;;;;;;;0,00;0,00;29.236,00;180.816.000,00;;;;;;;;;;
33;MONTOK;;;;;197,50;2.983.000,00;3.492,70;35.935.000,00;21.568,00;166.913.000,00;;;;;;;;;;
34;MAMUNG;;;;;;;0,00;0,00;0,00;0,00;;;;;;;;;;
35;PARI / PEH;;;;;;;27,00;108.000,00;6.496,00;18.552.500,00;;;;;;;;;;
36;RAJUNGAN;;;;;;;0,00;0,00;0,00;0,00;;;;;;;;;;
37;RIJEK;;;16.400,00;92.439.000,00;;;16.400,00;92.439.000,00;198.365,00;845.514.000,00;;;;;;;;;;
38;SONGOT / JAHAN;800,00;4.000.000,00;;;107,00;1.605.000,00;1.158,00;9.370.000,00;58.348,70;373.148.000,00;;;;;;;;;;
39;TONGKOL BAKOR;;;;;;;23,00;345.000,00;352.504,00;2.130.538.000,00;;;;;;;;;;
40;TONGKOL JABRIK;13.300,00;64.000.000,00;;;;;13.576,30;71.736.400,00;940.698,50;4.804.682.200,00;;;;;;;;;;
41;TONGKOL TUNA;23.800,00;238.000.000,00;12.175,00;97.400.000,00;;;35.975,00;335.400.000,00;313.093,70;2.971.454.800,00;;;;;;;;;;
42;TENGIRI;;;;;;;0,00;0,00;7.150,30;209.426.900,00;;;;;;;;;;
43;TANJAN;;;;;;;0,00;0,00;352,00;772.000,00;;;;;;;;;;
44;TERI;;;;;;;0,00;0,00;25.713,00;212.918.000,00;;;;;;;;;;
45;UBUR - UBUR;;;;;;;0,00;0,00;143.778,90;117.761.820,00;;;;;;;;;;
46;LAIN - LAIN;3.600,00;18.740.000,00;;;;;9.474,80;60.896.220,00;266.832,80;1.338.327.660,00;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;Jumlah;56.178,60;814.241.000,00;90.904,60;547.235.000,00;3.595,30;226.569.700,00;264.509,20;3.691.338.670,00;7.977.659,90;75.245.493.115,00;;;;;;;;;;
