PENJENISAN IKAN DAN UDANG;;;;;;;;;;;;;;;;;;;;;
DI TPI KABUPATEN CILACAP;;;;;;;;;;;;;;;;;;;;;
BULAN : NOPEMBER 2017;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
NO;NAMA IKAN;KEMIREN;;SENTOLO KAWAT;;SIDAKAYA;;TEGAL KATILAYU;;LENGKONG;;;;;;;;;;;
;;Kg;Rp.;Kg;Rp.;Kg;Rp.;Kg;Rp.;Kg;Rp.;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
1;UDANG JERBUNG;;;;;7.276,60;1.237.419.910,00;;;;;;;;;;;;;;
2;UDANG DOGOL;566,00;56.600.000,00;30,00;1.500.000,00;548,40;35.937.100,00;301,50;18.496.500,00;32,00;1.280.000,00;;;;;;;;;;
3;UDANG TIGER;;;;;;;;;;;;;;;;;;;;
4;UDANG PECI;;;;;6.036,20;739.921.090,00;;;;;;;;;;;;;;
5;UDANG BARAT;26,00;936.000,00;;;;;;;2.967,00;103.240.000,00;;;;;;;;;;
6;UDANG REBON;22.381,20;291.820.900,00;23.322,00;93.288.000,00;;;62.605,50;579.926.000,00;8.040,00;76.238.000,00;;;;;;;;;;
7;UDANG KROSOK;12.113,00;363.390.000,00;;;;;18.131,60;588.046.000,00;8.951,00;236.967.000,00;;;;;;;;;;
8;BAWAL PUTIH;;;;;;;;;;;;;;;;;;;;
9;BAWAL HITAM;;;;;;;;;;;;;;;;;;;;
10;BLANAK;;;;;;;;;;;;;;;;;;;;
11;BALENG;;;;;;;;;;;;;;;;;;;;
12;CUCUT;;;;;;;;;;;;;;;;;;;;
13;CERMING;;;;;;;;;;;;;;;;;;;;
14;CAKALANG;;;;;;;;;;;;;;;;;;;;
15;CUMI - CUMI;;;;;;;;;;;;;;;;;;;;
16;KERONG;;;;;;;;;;;;;;;;;;;;
17;ETONG;;;;;;;;;;;;;;;;;;;;
18;GEROK;;;;;;;;;;;;;;;;;;;;
19;GOGOKAN;;;;;;;;;;;;;;;;;;;;
20;GEMBUNG;;;;;;;;;;;;;;;;;;;;
21;GABEL;;;;;;;;;;;;;;;;;;;;
22;KAKAP;;;;;;;;;95,00;2.385.000,00;;;;;;;;;;
23;KACANGAN;383,10;5.363.400,00;;;;;;;62,00;930.000,00;;;;;;;;;;
24;KEONG;;;;;;;;;;;;;;;;;;;;
25;LAYARAN;;;;;;;;;;;;;;;;;;;;
26;LAYUR;40,00;320.000,00;6.364,00;32.320.000,00;;;;;6.271,50;249.495.250,00;;;;;;;;;;
27;LEMERU / SIRO;;;;;;;;;;;;;;;;;;;;
28;LEMADANG;;;;;;;;;;;;;;;;;;;;
29;LIDAH;6.072,10;24.288.400,00;;;;;;;1.773,00;13.182.000,00;;;;;;;;;;
30;LEMBUTAN;;;52.294,00;86.402.000,00;;;;;;;;;;;;;;;;
31;MANYUNG;;;;;;;;;;;;;;;;;;;;
32;MEKA;;;;;;;;;;;;;;;;;;;;
33;MONTOK;5.254,00;21.016.000,00;3.033,00;6.066.000,00;;;;;;;;;;;;;;;;
34;MAMUNG;;;;;;;;;;;;;;;;;;;;
35;PARI / PEH;;;;;;;;;;;;;;;;;;;;
36;RAJUNGAN;;;;;;;;;;;;;;;;;;;;
37;RIJEK;;;;;;;;;;;;;;;;;;;;
38;SONGOT / JAHAN;;;;;;;;;35,00;525.000,00;;;;;;;;;;
39;TONGKOL BAKOR;;;;;;;;;750,00;11.570.000,00;;;;;;;;;;
40;TONGKOL JABRIK;2.684,10;48.313.800,00;;;;;793,00;15.474.000,00;;;;;;;;;;;;
41;TONGKOL TUNA;;;;;;;;;;;;;;;;;;;;
42;TENGIRI;;;;;;;;;;;;;;;;;;;;
43;TANJAN;;;;;;;;;;;;;;;;;;;;
44;TERI;;;1.012,00;6.072.000,00;;;;;;;;;;;;;;;;
45;UBUR - UBUR;;;67.590,00;54.072.000,00;;;;;;;;;;;;;;;;
46;LAIN - LAIN;5.647,00;19.500.690,00;;;;;6.297,90;55.991.030,00;1.537,00;4.874.750,00;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;Jumlah;55.166,50;831.549.190,00;153.645,00;279.720.000,00;13.861,20;2.013.278.100,00;88.129,50;1.257.933.530,00;30.513,50;700.687.000,00;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
PENJENISAN IKAN DAN UDANG;;;;;;;;;;;;;;;;;;;;;
DI TPI KABUPATEN CILACAP;;;;;;;;;;;;;;;;;;;;;
BULAN : NOPEMBER 2017;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
NO;NAMA IKAN;PPSC;;B. DONAN / BATRE;;PANDANARANG;;JUMLAH;;JUMLAH S/D BLN INI;;;;;;;;;;;
;;Kg;Rp.;;;Kg;Rp.;Kg;Rp.;Kg;Rp.;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
1;UDANG JERBUNG;4.047,50;603.933.300,00;;;;;11.324,10;1.841.353.210,00;83.096,90;14.706.974.184,00;;;;;;;;;;
2;UDANG DOGOL;1.553,90;98.705.800,00;;;;;3.031,80;212.519.400,00;30.188,70;1.755.783.226,00;;;;;;;;;;
3;UDANG TIGER;18,80;3.653.200,00;;;;;18,80;3.653.200,00;97,70;19.712.400,00;;;;;;;;;;
4;UDANG PECI;782,70;71.621.100,00;;;;;6.818,90;811.542.190,00;45.497,90;4.737.786.190,00;;;;;;;;;;
5;UDANG BARAT;;;;;102,50;3.075.000,00;3.095,50;107.251.000,00;6.599,70;154.900.900,00;;;;;;;;;;
6;UDANG REBON;538,00;2.690.000,00;;;;;116.886,70;1.043.962.900,00;3.086.898,70;18.238.590.050,00;;;;;;;;;;
7;UDANG KROSOK;;;;;;;39.195,60;1.188.403.000,00;591.013,50;8.484.445.875,00;;;;;;;;;;
8;BAWAL PUTIH;;;;;3.548,60;389.397.070,00;3.548,60;389.397.070,00;5.582,90;853.936.860,00;;;;;;;;;;
9;BAWAL HITAM;;;;;121,00;4.114.000,00;121,00;4.114.000,00;6.816,90;225.950.500,00;;;;;;;;;;
10;BLANAK;;;;;;;0,00;0,00;150,00;750.000,00;;;;;;;;;;
11;BALENG;;;;;57,00;2.280.000,00;57,00;2.280.000,00;329,50;9.092.000,00;;;;;;;;;;
12;CUCUT;19.500,00;77.550.000,00;9.500,00;57.000.000,00;;;29.000,00;134.550.000,00;547.271,00;2.243.207.000,00;;;;;;;;;;
13;CERMING;;;;;;;0,00;0,00;0,00;0,00;;;;;;;;;;
14;CAKALANG;;;102.100,00;533.036.000,00;;;102.100,00;533.036.000,00;312.660,00;1.799.278.200,00;;;;;;;;;;
15;CUMI - CUMI;66.837,00;323.435.000,00;9.350,00;46.750.000,00;;;76.187,00;370.185.000,00;297.454,00;1.452.152.000,00;;;;;;;;;;
16;KERONG;;;;;;;0,00;0,00;0,00;0,00;;;;;;;;;;
17;ETONG;;;;;;;0,00;0,00;118,00;354.000,00;;;;;;;;;;
18;GEROK;;;;;;;0,00;0,00;208,00;5.260.000,00;;;;;;;;;;
19;GOGOKAN;;;;;;;0,00;0,00;5.898,90;67.009.000,00;;;;;;;;;;
20;GEMBUNG;;;;;10,50;262.500,00;10,50;262.500,00;151,50;3.807.500,00;;;;;;;;;;
21;GABEL;;;;;344,00;516.000,00;344,00;516.000,00;3.712,50;8.567.500,00;;;;;;;;;;
22;KAKAP;;;;;;;95,00;2.385.000,00;141,00;4.185.000,00;;;;;;;;;;
23;KACANGAN;;;;;63,00;630.000,00;508,10;6.923.400,00;3.075,60;48.197.950,00;;;;;;;;;;
24;KEONG;;;;;;;0,00;0,00;0,00;0,00;;;;;;;;;;
25;LAYARAN;;;;;;;0,00;0,00;34.318,00;187.568.000,00;;;;;;;;;;
26;LAYUR;;;2.431,00;24.310.000,00;14.302,00;357.550.000,00;29.408,50;663.995.250,00;138.509,70;2.858.053.300,00;;;;;;;;;;
27;LEMERU / SIRO;;;;;;;0,00;0,00;0,00;0,00;;;;;;;;;;
28;LEMADANG;15.150,00;75.750.000,00;;;;;15.150,00;75.750.000,00;24.645,00;122.475.000,00;;;;;;;;;;
29;LIDAH;;;;;;;7.845,10;37.470.400,00;48.440,00;465.425.800,00;;;;;;;;;;
30;LEMBUTAN;;;;;;;52.294,00;86.402.000,00;156.265,00;336.096.750,00;;;;;;;;;;
31;MANYUNG;;;;;;;0,00;0,00;0,00;0,00;;;;;;;;;;
32;MEKA;;;;;;;0,00;0,00;29.236,00;180.816.000,00;;;;;;;;;;
33;MONTOK;;;;;651,50;13.825.500,00;8.938,50;40.907.500,00;18.075,30;130.978.000,00;;;;;;;;;;
34;MAMUNG;;;;;;;0,00;0,00;0,00;0,00;;;;;;;;;;
35;PARI / PEH;600,00;1.550.000,00;300,00;3.000.000,00;;;900,00;4.550.000,00;6.469,00;18.444.500,00;;;;;;;;;;
36;RAJUNGAN;;;;;;;0,00;0,00;0,00;0,00;;;;;;;;;;
37;RIJEK;;;45.400,00;181.600.000,00;;;45.400,00;181.600.000,00;181.965,00;753.075.000,00;;;;;;;;;;
38;SONGOT / JAHAN;30.850,20;154.251.000,00;;;;;30.885,20;154.776.000,00;57.190,70;363.778.000,00;;;;;;;;;;
39;TONGKOL BAKOR;19.000,00;95.000.000,00;2.500,00;17.500.000,00;;;22.250,00;124.070.000,00;352.481,00;2.130.193.000,00;;;;;;;;;;
40;TONGKOL JABRIK;66.087,20;330.436.000,00;100,00;600.000,00;14,00;210.000,00;69.678,30;395.033.800,00;927.122,20;4.732.945.800,00;;;;;;;;;;
41;TONGKOL TUNA;18.200,00;182.000.000,00;9.368,00;74.944.000,00;;;27.568,00;256.944.000,00;277.118,70;2.636.054.800,00;;;;;;;;;;
42;TENGIRI;;;;;109,50;4.380.000,00;109,50;4.380.000,00;7.150,30;209.426.900,00;;;;;;;;;;
43;TANJAN;;;;;;;0,00;0,00;352,00;772.000,00;;;;;;;;;;
44;TERI;;;;;;;1.012,00;6.072.000,00;25.713,00;212.918.000,00;;;;;;;;;;
