PENJENISAN IKAN DAN UDANG;;;;;;;;;;;;;;;;;;;;;
DI TPI KABUPATEN CILACAP;;;;;;;;;;;;;;;;;;;;;
BULAN : AGUSTUS 2017;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
NO;NAMA IKAN;KEMIREN;;SENTOLO KAWAT;;SIDAKAYA;;TEGAL KATILAYU;;LENGKONG;;;;;;;;;;;
;;Kg;Rp.;Kg;Rp.;Kg;Rp.;Kg;Rp.;Kg;Rp.;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
1;UDANG JERBUNG;;;;;6.547,30;1.328.574.200,00;;;;;;;;;;;;;;
2;UDANG DOGOL;51,30;7.695.000,00;;;1.132,40;56.154.400,00;;;13,50;425.000,00;;;;;;;;;;
3;UDANG TIGER;;;;;;;;;;;;;;;;;;;;
4;UDANG PECI;;;;;2.912,00;313.196.500,00;;;;;;;;;;;;;;
5;UDANG BARAT;;;;;;;;;580,00;14.500.000,00;;;;;;;;;;
6;UDANG REBON;123.733,50;611.719.500,00;357.334,00;1.250.669.000,00;;;269.503,00;2.293.371.500,00;234.616,00;1.297.075.450,00;;;;;;;;;;
7;UDANG KROSOK;11.952,10;278.644.600,00;;;3,50;70.000,00;7.590,20;225.164.000,00;24.803,00;410.515.625,00;;;;;;;;;;
8;BAWAL PUTIH;;;;;;;;;;;;;;;;;;;;
9;BAWAL HITAM;;;;;;;;;;;;;;;;;;;;
10;BLANAK;;;;;;;;;;;;;;;;;;;;
11;BALENG;;;;;;;;;;;;;;;;;;;;
12;CUCUT;;;;;;;;;;;;;;;;;;;;
13;CERMING;;;;;;;;;;;;;;;;;;;;
14;CAKALANG;;;;;;;;;;;;;;;;;;;;
15;CUMI - CUMI;;;;;;;;;;;;;;;;;;;;
16;KERONG;;;;;;;;;;;;;;;;;;;;
17;ETONG;;;;;;;;;;;;;;;;;;;;
18;GEROK;;;;;;;;;;;;;;;;;;;;
19;GOGOKAN;;;;;;;;;;;;;;;;;;;;
20;GEMBUNG;;;;;;;;;;;;;;;;;;;;
21;GABEL;;;;;;;;;;;;;;;;;;;;
22;KAKAP;;;;;;;;;;;;;;;;;;;;
23;KACANGAN;;;;;;;;;;;;;;;;;;;;
24;KEONG;;;;;;;;;;;;;;;;;;;;
25;LAYARAN;;;;;;;;;;;;;;;;;;;;
26;LAYUR;;;3.763,00;75.260.000,00;;;;;;;;;;;;;;;;
27;LEMERU / SIRO;;;;;;;;;;;;;;;;;;;;
28;LEMADANG;;;;;;;;;;;;;;;;;;;;
29;LIDAH;1.596,50;19.158.000,00;;;;;;;;;;;;;;;;;;
30;LEMBUTAN;;;21.883,00;53.061.000,00;;;;;;;;;;;;;;;;
31;MANYUNG;;;;;;;;;;;;;;;;;;;;
32;MEKA;;;;;;;;;;;;;;;;;;;;
33;MONTOK;1.149,50;17.242.500,00;;;;;;;;;;;;;;;;;;
34;MAMUNG;;;;;;;;;;;;;;;;;;;;
35;PARI / PEH;;;;;;;;;;;;;;;;;;;;
36;RAJUNGAN;;;;;;;;;;;;;;;;;;;;
37;RIJEK;;;;;;;;;;;;;;;;;;;;
38;SONGOT / JAHAN;;;;;;;;;;;;;;;;;;;;
39;TONGKOL BAKOR;;;;;;;;;;;;;;;;;;;;
40;TONGKOL JABRIK;;;1.080,00;21.600.000,00;;;;;;;;;;;;;;;;
41;TONGKOL TUNA;;;;;;;;;;;;;;;;;;;;
42;TENGIRI;;;100,00;5.000.000,00;;;;;;;;;;;;;;;;
43;TANJAN;;;;;;;;;;;;;;;;;;;;
44;TERI;;;768,00;10.752.000,00;;;;;;;;;;;;;;;;
45;UBUR - UBUR;;;;;;;;;;;;;;;;;;;;
46;LAIN - LAIN;5.127,20;16.151.130,00;;;;;7.970,70;76.969.010,00;1.413,00;2.711.375,00;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;Jumlah;143.610,10;950.610.730,00;384.928,00;1.416.342.000,00;10.595,20;1.697.995.100,00;285.063,90;2.595.504.510,00;261.425,50;1.725.227.450,00;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
PENJENISAN IKAN DAN UDANG;;;;;;;;;;;;;;;;;;;;;
DI TPI KABUPATEN CILACAP;;;;;;;;;;;;;;;;;;;;;
BULAN : AGUSTUS 2017;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
NO;NAMA IKAN;PPSC;;B. DONAN / BATRE;;PANDANARANG;;JUMLAH;;JUMLAH S/D BLN INI;;;;;;;;;;;
;;Kg;Rp.;;;Kg;Rp.;Kg;Rp.;Kg;Rp.;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
1;UDANG JERBUNG;4.139,50;832.321.100,00;;;;;10.686,80;2.160.895.300,00;19.938,60;3.713.833.400,00;;;;;;;;;;
2;UDANG DOGOL;3.103,40;165.458.000,00;;;;;4.300,60;229.732.400,00;6.025,90;342.897.400,00;;;;;;;;;;
3;UDANG TIGER;15,70;3.138.000,00;;;;;15,70;3.138.000,00;23,80;4.550.700,00;;;;;;;;;;
4;UDANG LOBSTER;1.569,70;140.661.300,00;;;;;4.481,70;453.857.800,00;10.490,30;973.536.200,00;;;;;;;;;;
5;UDANG BARAT;;;;;49,00;1.274.000,00;629,00;15.774.000,00;1.002,50;25.231.800,00;;;;;;;;;;
6;UDANG REBON;20.270,60;101.056.000,00;;;;;1.005.457,10;5.553.891.450,00;1.952.999,70;11.456.143.000,00;;;;;;;;;;
7;UDANG KROSOK;;;;;;;44.348,80;914.394.225,00;392.867,60;4.252.570.625,00;;;;;;;;;;
8;BAWAL PUTIH;;;;;1.224,60;241.198.440,00;1.224,60;241.198.440,00;1.414,20;282.841.290,00;;;;;;;;;;
9;BAWAL HITAM;;;;;1.252,00;31.300.000,00;1.252,00;31.300.000,00;1.252,00;31.300.000,00;;;;;;;;;;
10;BLANAK;;;;;;;0,00;0,00;0,00;0,00;;;;;;;;;;
11;BALENG;;;;;50,50;1.262.000,00;50,50;1.262.000,00;50,50;1.262.000,00;;;;;;;;;;
12;CUCUT;66.323,00;284.280.000,00;6.237,00;37.422.000,00;;;72.560,00;321.702.000,00;469.629,00;1.917.947.000,00;;;;;;;;;;
13;CERMING;;;;;;;0,00;0,00;0,00;0,00;;;;;;;;;;
14;CAKALANG;;;34.185,00;205.110.000,00;;;34.185,00;205.110.000,00;151.083,00;877.854.200,00;;;;;;;;;;
15;CUMI - CUMI;23.235,00;114.475.000,00;600,00;3.000.000,00;;;23.835,00;117.475.000,00;72.579,00;366.095.000,00;;;;;;;;;;
16;KERONG;;;;;;;0,00;0,00;0,00;0,00;;;;;;;;;;
17;ETONG;;;;;;;0,00;0,00;118,00;354.000,00;;;;;;;;;;
18;GEROK;;;;;202,00;5.050.000,00;202,00;5.050.000,00;202,00;5.050.000,00;;;;;;;;;;
19;GOGOKAN;2.069,00;20.690.000,00;;;10,00;400.000,00;2.079,00;21.090.000,00;5.898,90;67.009.000,00;;;;;;;;;;
20;GEMBUNG;;;;;126,00;3.150.000,00;126,00;3.150.000,00;130,00;3.270.000,00;;;;;;;;;;
21;GABEL;;;;;2.054,00;4.108.000,00;2.054,00;4.108.000,00;2.054,00;4.108.000,00;;;;;;;;;;
22;KAKAP;;;;;;;0,00;0,00;46,00;1.800.000,00;;;;;;;;;;
23;KACANGAN;;;;;569,50;5.695.000,00;569,50;5.695.000,00;1.032,00;11.564.550,00;;;;;;;;;;
24;KEONG;;;;;;;0,00;0,00;0,00;0,00;;;;;;;;;;
25;LAYARAN;3.968,00;19.840.000,00;;;;;3.968,00;19.840.000,00;25.128,00;141.618.000,00;;;;;;;;;;
26;LAYUR;;;;;35.333,00;883.325.000,00;39.096,00;958.585.000,00;64.856,00;1.299.330.000,00;;;;;;;;;;
27;LEMERU / SIRO;;;;;;;0,00;0,00;0,00;0,00;;;;;;;;;;
28;LEMADANG;3.230,00;16.150.000,00;;;;;3.230,00;16.150.000,00;5.995,00;29.225.000,00;;;;;;;;;;
29;LIDAH;;;;;;;1.596,50;19.158.000,00;26.661,10;352.970.900,00;;;;;;;;;;
30;LEMBUTAN;;;;;622,00;622.000,00;22.505,00;53.683.000,00;56.938,00;149.632.250,00;;;;;;;;;;
31;MANYUNG;;;;;;;0,00;0,00;0,00;0,00;;;;;;;;;;
32;MEKA;;;;;;;0,00;0,00;27.236,00;170.816.000,00;;;;;;;;;;
33;MONTOK;;;;;274,00;2.619.000,00;1.423,50;19.861.500,00;5.150,30;65.141.500,00;;;;;;;;;;
34;MAMUNG;;;;;;;0,00;0,00;0,00;0,00;;;;;;;;;;
35;PARI / PEH;813,00;1.930.000,00;;;;;813,00;1.930.000,00;3.992,00;9.891.500,00;;;;;;;;;;
36;RAJUNGAN;;;;;;;0,00;0,00;0,00;0,00;;;;;;;;;;
37;RIJEK;;;26.491,00;101.863.000,00;;;26.491,00;101.863.000,00;112.865,00;476.675.000,00;;;;;;;;;;
38;SONGOT / JAHAN;;;;;236,00;2.360.000,00;236,00;2.360.000,00;14.552,50;79.099.000,00;;;;;;;;;;
39;TONGKOL BAKOR;4.300,00;21.500.000,00;10.295,00;72.065.000,00;;;14.595,00;93.565.000,00;286.526,00;1.776.348.000,00;;;;;;;;;;
40;TONGKOL JABRIK;229.289,20;1.054.300.000,00;;;42,50;425.000,00;230.411,70;1.076.325.000,00;529.531,70;2.737.501.000,00;;;;;;;;;;
41;TONGKOL TUNA;13.760,00;137.600.000,00;11.000,00;99.000.000,00;;;24.760,00;236.600.000,00;207.534,20;1.984.787.800,00;;;;;;;;;;
42;TENGIRI;;;;;4.197,00;104.925.000,00;4.297,00;109.925.000,00;4.989,80;123.551.900,00;;;;;;;;;;
43;TANJAN;;;;;243,00;480.000,00;243,00;480.000,00;317,00;702.000,00;;;;;;;;;;
44;TERI;;;;;;;768,00;10.752.000,00;23.751,00;197.346.000,00;;;;;;;;;;
45;UBUR - UBUR;;;;;;;0,00;0,00;1.302,90;3.492.420,00;;;;;;;;;;
