PENJENISAN IKAN DAN UDANG;;;;;;;;;;;;;;;;;;;;;
DI TPI KABUPATEN CILACAP;;;;;;;;;;;;;;;;;;;;;
BULAN : APRIL 2016;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
NO;NAMA IKAN;KEMIREN;;SENTOLO KAWAT;;SIDAKAYA;;TEGAL KATILAYU;;LENGKONG;;;;;;;;;;;
;;Kg;Rp.;Kg;Rp.;Kg;Rp.;Kg;Rp.;Kg;Rp.;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
1;UDANG JERBUNG;2,00;340.000,00;;;1.448,80;212.694.100,00;;;;;;;;;;;;;;
2;UDANG DOGOL;967,50;38.700.000,00;;;335,70;18.512.900,00;;;0,70;24.500,00;;;;;;;;;;
3;UDANG TIGER;;;;;2,20;418.000,00;;;;;;;;;;;;;;
4;UDANG PECI;;;;;560,50;50.886.200,00;;;;;;;;;;;;;;
5;UDANG BARAT;;;;;;;;;1.274,50;31.862.500,00;;;;;;;;;;
6;UDANG REBON;3.709,00;66.433.000,00;35,00;105.000,00;;;2.244,50;44.737.000,00;142,00;1.420.000,00;;;;;;;;;;
7;UDANG KROSOK;1.628,70;43.974.900,00;;;;;540,40;22.144.500,00;780,50;16.390.500,00;;;;;;;;;;
8;BAWAL PUTIH;;;;;;;;;;;;;;;;;;;;
9;BAWAL HITAM;;;;;;;;;;;;;;;;;;;;
10;BLANAK;;;1.025,00;4.100.000,00;;;;;;;;;;;;;;;;
11;BALENG;;;;;;;;;;;;;;;;;;;;
12;CUCUT;;;;;;;;;;;;;;;;;;;;
13;CERMING;;;;;;;;;;;;;;;;;;;;
14;CAKALANG;;;;;;;;;;;;;;;;;;;;
15;CUMI - CUMI;;;;;;;;;;;;;;;;;;;;
16;DEBLEG;;;;;;;;;;;;;;;;;;;;
17;ETONG;;;;;;;;;;;;;;;;;;;;
18;GEROK;;;;;;;;;;;;;;;;;;;;
19;GOGOKAN;;;;;;;;;;;;;;;;;;;;
20;GEMBUNG;261,70;7.065.900,00;;;;;;;;;;;;;;;;;;
21;GABEL;;;;;;;;;;;;;;;;;;;;
22;KAKAP;5,80;203.000,00;;;;;;;;;;;;;;;;;;
23;KACANGAN;;;;;;;;;;;;;;;;;;;;
24;KEONG;;;;;;;3.072,00;22.316.000,00;;;;;;;;;;;;
25;LAYARAN;;;;;;;;;;;;;;;;;;;;
26;LAYUR;;;210,00;840.000,00;;;;;33,00;495.000,00;;;;;;;;;;
27;LEMERU / SIRO;;;;;;;;;;;;;;;;;;;;
28;LEMADANG;;;;;;;;;;;;;;;;;;;;
29;LIDAH;586,50;8.211.000,00;;;;;;;;;;;;;;;;;;
30;LEMBUTAN;;;;;;;;;111,00;277.500,00;;;;;;;;;;
31;MANYUNG;;;;;;;;;;;;;;;;;;;;
32;MEKA;;;;;;;;;;;;;;;;;;;;
33;MONTOK;1.098,30;4.393.200,00;24,00;48.000,00;;;;;138,00;690.000,00;;;;;;;;;;
34;MAMUNG;;;;;;;;;;;;;;;;;;;;
35;PARI / PEH;;;;;;;;;;;;;;;;;;;;
36;RAJUNGAN;;;;;;;;;;;;;;;;;;;;
37;RIJEK;;;17.884,00;35.080.000,00;;;;;;;;;;;;;;;;
38;SONGOT / JAHAN;;;;;;;;;35,00;385.000,00;;;;;;;;;;
39;TONGKOL BAKOR;;;;;;;;;;;;;;;;;;;;
40;TONGKOL JABRIK;297,40;5.055.800,00;;;;;;;;;;;;;;;;;;
41;TONGKOL TUNA;;;;;;;;;;;;;;;;;;;;
42;TENGIRI;;;;;;;;;;;;;;;;;;;;
43;TANJAN;;;6,00;24.000,00;;;;;;;;;;;;;;;;
44;TERI;;;14,00;84.000,00;;;;;;;;;;;;;;;;
45;UBUR - UBUR;;;;;;;;;;;;;;;;;;;;
46;LAIN - LAIN;2.590,30;9.949.850,00;;;;;1.784,70;21.506.890,00;53,00;213.500,00;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;Jumlah;11.147,20;184.326.650,00;19.198,00;40.281.000,00;2.347,20;282.511.200,00;7.641,60;110.704.390,00;2.567,70;51.758.500,00;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
PENJENISAN IKAN DAN UDANG;;;;;;;;;;;;;;;;;;;;;
DI TPI KABUPATEN CILACAP;;;;;;;;;;;;;;;;;;;;;
BULAN : APRIL 2016;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
NO;NAMA IKAN;PPSC;;B. DONAN / BATRE;;PANDANARANG;;JUMLAH;;JUMLAH S/D BLN INI;;;;;;;;;;;
;;Kg;Rp.;;;Kg;Rp.;Kg;Rp.;Kg;Rp.;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
1;UDANG JERBUNG;468,99;74.262.400,00;;;;;1.919,79;287.296.500,00;32.215,79;5.526.087.100,00;;;;;;;;;;
2;UDANG DOGOL;394,90;22.505.400,00;;;;;1.698,80;79.742.800,00;8.337,70;491.317.000,00;;;;;;;;;;
3;UDANG TIGER;13,30;2.498.000,00;;;;;15,50;2.916.000,00;205,50;41.305.700,00;;;;;;;;;;
4;UDANG PECI;345,80;30.947.800,00;;;;;906,30;81.834.000,00;23.726,20;2.612.624.600,00;;;;;;;;;;
5;UDANG BARAT;;;;;;;1.274,50;31.862.500,00;3.980,00;108.545.000,00;;;;;;;;;;
6;UDANG REBON;;;;;;;6.130,50;112.695.000,00;29.742,30;565.647.900,00;;;;;;;;;;
7;UDANG KROSOK;;;;;;;2.949,60;82.509.900,00;29.118,00;875.387.600,00;;;;;;;;;;
8;BAWAL PUTIH;;;;;404,40;51.358.100,00;404,40;51.358.100,00;6.484,10;1.023.582.650,00;;;;;;;;;;
9;BAWAL HITAM;;;;;;;0,00;0,00;1.867,60;312.291.210,00;;;;;;;;;;
10;BLANAK;;;;;;;1.025,00;4.100.000,00;7.262,00;41.212.000,00;;;;;;;;;;
11;BALENG;;;;;;;0,00;0,00;155,50;1.227.500,00;;;;;;;;;;
12;CUCUT;25.590,00;96.329.500,00;18.991,00;132.937.000,00;;;44.581,00;229.266.500,00;121.876,00;542.030.500,00;;;;;;;;;;
13;CERMING;;;;;;;0,00;0,00;42,00;1.470.000,00;;;;;;;;;;
14;CAKALANG;;;;;;;0,00;0,00;8.083,00;48.498.000,00;;;;;;;;;;
15;CUMI - CUMI;1.000,00;3.750.000,00;;;;;1.000,00;3.750.000,00;50.851,90;247.674.300,00;;;;;;;;;;
16;DEBLEG;;;;;;;0,00;0,00;0,00;0,00;;;;;;;;;;
17;ETONG;;;;;;;0,00;0,00;0,00;0,00;;;;;;;;;;
18;GEROK;;;;;;;0,00;0,00;0,00;0,00;;;;;;;;;;
19;GOGOKAN;;;;;;;0,00;0,00;504,00;4.085.000,00;;;;;;;;;;
20;GEMBUNG;;;;;;;261,70;7.065.900,00;585,50;16.131.300,00;;;;;;;;;;
21;GABEL;;;;;;;0,00;0,00;74,00;222.000,00;;;;;;;;;;
22;KAKAP;;;;;;;5,80;203.000,00;98,80;3.204.700,00;;;;;;;;;;
23;KACANGAN;;;;;;;0,00;0,00;14,00;280.000,00;;;;;;;;;;
24;KEONG;1.090,00;10.900.000,00;;;;;4.162,00;33.216.000,00;7.748,00;66.696.000,00;;;;;;;;;;
25;LAYARAN;;;;;;;0,00;0,00;215,00;1.155.000,00;;;;;;;;;;
26;LAYUR;;;;;;;243,00;1.335.000,00;2.167,90;57.585.700,00;;;;;;;;;;
27;LEMERU / SIRO;;;;;;;0,00;0,00;0,00;0,00;;;;;;;;;;
28;LEMADANG;60,00;300.000,00;;;;;60,00;300.000,00;12.607,50;50.292.500,00;;;;;;;;;;
29;LIDAH;;;;;;;586,50;8.211.000,00;12.075,30;136.486.100,00;;;;;;;;;;
30;LEMBUTAN;;;;;;;111,00;277.500,00;81.349,00;135.018.500,00;;;;;;;;;;
31;MANYUNG;;;;;;;0,00;0,00;0,00;0,00;;;;;;;;;;
32;MEKA;;;380,00;2.660.000,00;;;380,00;2.660.000,00;1.730,00;10.160.000,00;;;;;;;;;;
33;MONTOK;;;;;;;1.260,30;5.131.200,00;10.775,40;45.664.100,00;;;;;;;;;;
34;MAMUNG;;;;;;;0,00;0,00;92,50;2.035.000,00;;;;;;;;;;
35;PARI / PEH;253,00;559.000,00;;;;;253,00;559.000,00;8.041,00;17.133.000,00;;;;;;;;;;
36;RAJUNGAN;;;;;;;0,00;0,00;741,00;20.308.000,00;;;;;;;;;;
37;RIJEK;;;27.560,00;142.626.000,00;;;45.444,00;177.706.000,00;76.606,00;327.246.500,00;;;;;;;;;;
38;SONGOT / JAHAN;5.509,80;24.069.000,00;;;;;5.544,80;24.454.000,00;22.437,80;108.539.000,00;;;;;;;;;;
39;TONGKOL BAKOR;11.650,00;69.900.000,00;23.689,00;165.823.000,00;;;35.339,00;235.723.000,00;92.040,50;537.080.500,00;;;;;;;;;;
40;TONGKOL JABRIK;40.450,00;197.350.000,00;22.958,00;137.748.000,00;;;63.705,40;340.153.800,00;111.301,10;603.757.000,00;;;;;;;;;;
41;TONGKOL TUNA;5.380,00;43.040.000,00;14.480,00;115.840.000,00;;;19.860,00;158.880.000,00;49.185,00;391.387.500,00;;;;;;;;;;
42;TENGIRI;;;;;;;0,00;0,00;13,50;607.500,00;;;;;;;;;;
43;TANJAN;;;;;;;6,00;24.000,00;2.105,00;6.321.000,00;;;;;;;;;;
44;TERI;;;;;;;14,00;84.000,00;2.470,00;16.618.000,00;;;;;;;;;;
45;UBUR - UBUR;;;;;;;0,00;0,00;0,00;0,00;;;;;;;;;;
46;LAIN - LAIN;1.575,00;7.640.000,00;;;;;6.003,00;39.310.240,00;86.965,40;508.796.050,00;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;Jumlah;93.780,79;584.051.100,00;108.058,00;697.634.000,00;404,40;51.358.100,00;245.144,89;2.002.624.940,00;905.890,79;15.505.711.010,00;;;;;;;;;;
