PENJENISAN IKAN DAN UDANG;;;;;;;;;;;;;;;;;;;;;
DI TPI KABUPATEN CILACAP;;;;;;;;;;;;;;;;;;;;;
BULAN : DESEMBER 2016;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
NO;NAMA IKAN;KEMIREN;;SENTOLO KAWAT;;SIDAKAYA;;TEGAL KATILAYU;;LENGKONG;;;;;;;;;;;
;;Kg;Rp.;Kg;Rp.;Kg;Rp.;Kg;Rp.;Kg;Rp.;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
1;UDANG JERBUNG;;;;;1.009,90;189.179.500,00;;;;;;;;;;;;;;
2;UDANG DOGOL;342,50;34.250.000,00;;;3,60;324.500,00;;;;;;;;;;;;;;
3;UDANG TIGER;;;;;17,00;2.431.000,00;;;;;;;;;;;;;;
4;UDANG PECI;;;;;395,10;40.065.200,00;;;;;;;;;;;;;;
5;UDANG BARAT;;;;;;;;;269,00;7.263.000,00;;;;;;;;;;
6;UDANG REBON;14.693,50;217.540.500,00;162,00;486.000,00;;;39.149,50;548.427.000,00;3.369,00;39.689.000,00;;;;;;;;;;
7;UDANG KROSOK;4.221,80;97.101.400,00;;;;;4.246,73;141.209.500,00;1.708,50;36.042.500,00;;;;;;;;;;
8;BAWAL PUTIH;;;;;;;;;;;;;;;;;;;;
9;BAWAL HITAM;;;;;;;;;;;;;;;;;;;;
10;BLANAK;;;;;;;;;;;;;;;;;;;;
11;BALENG;;;;;;;;;;;;;;;;;;;;
12;CUCUT;;;;;;;;;;;;;;;;;;;;
13;CERMING;;;;;;;;;;;;;;;;;;;;
14;CAKALANG;;;;;;;;;;;;;;;;;;;;
15;CUMI - CUMI;;;;;;;;;;;;;;;;;;;;
16;KERONG;;;;;;;;;;;;;;;;;;;;
17;ETONG;;;;;;;;;;;;;;;;;;;;
18;GEROK;;;;;;;;;;;;;;;;;;;;
19;GOGOKAN;;;;;;;;;;;;;;;;;;;;
20;GEMBUNG;;;;;;;;;;;;;;;;;;;;
21;GABEL;;;;;;;;;;;;;;;;;;;;
22;KAKAP;91,00;2.548.000,00;;;;;;;;;;;;;;;;;;
23;KACANGAN;;;;;;;;;;;;;;;;;;;;
24;KEONG;;;;;;;;;;;;;;;;;;;;
25;LAYARAN;;;;;;;;;;;;;;;;;;;;
26;LAYUR;23,50;352.500,00;534,00;5.340.000,00;;;;;;;;;;;;;;;;
27;LEMERU / SIRO;;;;;;;;;;;;;;;;;;;;
28;LEMADANG;;;;;;;;;;;;;;;;;;;;
29;LIDAH;3.407,50;51.112.500,00;;;;;;;172,00;1.862.000,00;;;;;;;;;;
30;LEMBUTAN;;;7.693,00;14.202.000,00;;;;;;;;;;;;;;;;
31;MANYUNG;;;;;;;;;;;;;;;;;;;;
32;MEKA;;;;;;;;;;;;;;;;;;;;
33;MONTOK;2.517,20;20.137.600,00;;;;;;;11,00;55.000,00;;;;;;;;;;
34;MAMUNG;;;;;;;;;;;;;;;;;;;;
35;PARI / PEH;;;;;;;;;;;;;;;;;;;;
36;RAJUNGAN;;;;;;;;;;;;;;;;;;;;
37;RIJEK;;;;;;;;;;;;;;;;;;;;
38;SONGOT / JAHAN;47,50;570.000,00;;;;;;;27,00;270.000,00;;;;;;;;;;
39;TONGKOL BAKOR;;;;;;;;;;;;;;;;;;;;
40;TONGKOL JABRIK;20,20;585.800,00;;;;;;;;;;;;;;;;;;
41;TONGKOL TUNA;;;;;;;;;;;;;;;;;;;;
42;TENGIRI;;;;;;;;;;;;;;;;;;;;
43;TANJAN;;;94,00;282.000,00;;;;;;;;;;;;;;;;
44;TERI;;;;;;;;;;;;;;;;;;;;
45;UBUR - UBUR;;;;;;;;;;;;;;;;;;;;
46;LAIN - LAIN;2.584,80;10.075.860,00;;;;;4.079,90;38.414.600,00;424,00;2.078.000,00;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;Jumlah;27.949,50;434.274.160,00;8.483,00;20.310.000,00;1.425,60;232.000.200,00;47.476,13;728.051.100,00;5.980,50;87.259.500,00;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
PENJENISAN IKAN DAN UDANG;;;;;;;;;;;;;;;;;;;;;
DI TPI KABUPATEN CILACAP;;;;;;;;;;;;;;;;;;;;;
BULAN : DESEMBER 2016;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
NO;NAMA IKAN;PPSC;;B. DONAN / BATRE;;PANDANARANG;;JUMLAH;;JUMLAH S/D BLN INI;;;;;;;;;;;
;;Kg;Rp.;;;Kg;Rp.;Kg;Rp.;Kg;Rp.;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
1;UDANG JERBUNG;;;;;;;1.009,90;189.179.500,00;56.635,19;9.896.910.750,00;;;;;;;;;;
2;UDANG DOGOL;;;;;;;346,10;34.574.500,00;11.829,60;725.140.000,00;;;;;;;;;;
3;UDANG TIGER;;;;;;;17,00;2.431.000,00;605,30;121.404.400,00;;;;;;;;;;
4;UDANG PECI;;;;;;;395,10;40.065.200,00;36.425,10;3.930.004.800,00;;;;;;;;;;
5;UDANG BARAT;;;;;;;269,00;7.263.000,00;10.889,20;259.287.250,00;;;;;;;;;;
6;UDANG REBON;;;;;;;57.374,00;806.142.500,00;372.377,86;4.755.206.625,00;;;;;;;;;;
7;UDANG KROSOK;;;;;;;10.177,03;274.353.400,00;72.921,13;1.950.828.400,00;;;;;;;;;;
8;BAWAL PUTIH;;;;;;;0,00;0,00;7.107,00;1.130.224.790,00;;;;;;;;;;
9;BAWAL HITAM;;;;;;;0,00;0,00;1.867,60;312.291.210,00;;;;;;;;;;
10;BLANAK;;;;;;;0,00;0,00;7.487,00;42.337.000,00;;;;;;;;;;
11;BALENG;;;;;;;0,00;0,00;155,50;1.227.500,00;;;;;;;;;;
12;CUCUT;12.512,00;49.700.000,00;;;;;12.512,00;49.700.000,00;342.608,00;1.431.699.000,00;;;;;;;;;;
13;CERMING;;;;;;;0,00;0,00;42,00;1.470.000,00;;;;;;;;;;
14;CAKALANG;;;36.134,00;216.804.000,00;;;36.134,00;216.804.000,00;136.825,00;849.487.000,00;;;;;;;;;;
15;CUMI - CUMI;;;;;;;0,00;0,00;63.885,90;312.639.300,00;;;;;;;;;;
16;KERONG;;;;;;;0,00;0,00;34,00;841.000,00;;;;;;;;;;
17;ETONG;;;;;;;0,00;0,00;100,00;500.000,00;;;;;;;;;;
18;GEROK;;;;;;;0,00;0,00;12,50;387.500,00;;;;;;;;;;
19;GOGOKAN;;;;;;;0,00;0,00;1.111,00;22.365.000,00;;;;;;;;;;
20;GEMBUNG;;;;;;;0,00;0,00;585,50;16.131.300,00;;;;;;;;;;
21;GABEL;;;;;;;0,00;0,00;74,00;222.000,00;;;;;;;;;;
22;KAKAP;;;;;;;91,00;2.548.000,00;389,30;8.746.200,00;;;;;;;;;;
23;KACANGAN;;;;;;;0,00;0,00;16,10;336.700,00;;;;;;;;;;
24;KEONG;;;;;;;0,00;0,00;10.261,70;90.595.000,00;;;;;;;;;;
25;LAYARAN;1.200,00;7.200.000,00;;;;;1.200,00;7.200.000,00;35.132,00;213.217.000,00;;;;;;;;;;
26;LAYUR;2.216,00;33.240.000,00;192,00;2.880.000,00;;;2.965,50;41.812.500,00;361.408,60;5.351.598.700,00;;;;;;;;;;
27;LEMERU / SIRO;;;;;;;0,00;0,00;0,00;0,00;;;;;;;;;;
28;LEMADANG;;;;;;;0,00;0,00;13.687,50;55.692.500,00;;;;;;;;;;
29;LIDAH;;;;;;;3.579,50;52.974.500,00;18.192,00;223.491.950,00;;;;;;;;;;
30;LEMBUTAN;;;;;;;7.693,00;14.202.000,00;172.003,00;357.989.000,00;;;;;;;;;;
31;MANYUNG;;;;;;;0,00;0,00;0,00;0,00;;;;;;;;;;
32;MEKA;300,00;1.800.000,00;;;;;300,00;1.800.000,00;20.540,00;120.800.000,00;;;;;;;;;;
33;MONTOK;;;;;;;2.528,20;20.192.600,00;23.423,60;172.842.000,00;;;;;;;;;;
34;MAMUNG;;;;;;;0,00;0,00;92,50;2.035.000,00;;;;;;;;;;
35;PARI / PEH;;;;;;;0,00;0,00;8.427,00;17.912.500,00;;;;;;;;;;
36;RAJUNGAN;;;;;;;0,00;0,00;741,00;20.308.000,00;;;;;;;;;;
37;RIJEK;;;39.116,00;195.580.000,00;;;39.116,00;195.580.000,00;298.679,00;1.370.755.500,00;;;;;;;;;;
38;SONGOT / JAHAN;;;;;;;74,50;840.000,00;54.139,80;264.489.000,00;;;;;;;;;;
39;TONGKOL BAKOR;15.900,00;95.400.000,00;1.230,00;8.610.000,00;;;17.130,00;104.010.000,00;403.763,50;2.459.566.500,00;;;;;;;;;;
40;TONGKOL JABRIK;21.300,00;114.050.000,00;6.125,00;36.750.000,00;;;27.445,20;151.385.800,00;608.055,70;3.422.187.000,00;;;;;;;;;;
41;TONGKOL TUNA;11.320,00;113.200.000,00;65.353,00;591.712.000,00;;;76.673,00;704.912.000,00;364.311,00;3.307.329.500,00;;;;;;;;;;
42;TENGIRI;;;;;;;0,00;0,00;35,00;1.682.500,00;;;;;;;;;;
43;TANJAN;;;;;;;94,00;282.000,00;2.369,00;7.119.000,00;;;;;;;;;;
44;TERI;;;;;;;0,00;0,00;13.100,00;82.594.000,00;;;;;;;;;;
45;UBUR - UBUR;;;;;;;0,00;0,00;1.584,40;4.527.390,00;;;;;;;;;;
46;LAIN - LAIN;82.400,00;363.400.000,00;1.500,00;6.000.000,00;;;90.988,70;419.968.460,00;332.369,80;1.949.730.725,00;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;Jumlah;147.148,00;777.990.000,00;149.650,00;1.058.336.000,00;0,00;0,00;388.112,73;3.338.220.960,00;3.866.299,88;45.266.150.490,00;;;;;;;;;;
