PENJENISAN IKAN DAN UDANG;;;;;;;;;;;;;;;;;;;;;
DI TPI KABUPATEN CILACAP;;;;;;;;;;;;;;;;;;;;;
BULAN : FEBRUARI 2016;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
NO;NAMA IKAN;KEMIREN;;SENTOLO KAWAT;;SIDAKAYA;;TEGAL KATILAYU;;LENGKONG;;;;;;;;;;;
;;Kg;Rp.;Kg;Rp.;Kg;Rp.;Kg;Rp.;Kg;Rp.;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
1;UDANG JERBUNG;3,50;332.500,00;;;6.592,40;1.137.525.200,00;;;;;;;;;;;;;;
2;UDANG DOGOL;559,20;27.960.000,00;;;277,70;18.067.700,00;;;;;;;;;;;;;;
3;UDANG TIGER;;;;;6,70;1.600.400,00;;;;;;;;;;;;;;
4;UDANG PECI;;;;;5.156,10;543.828.600,00;;;;;;;;;;;;;;
5;UDANG BARAT;52,00;1.976.000,00;;;;;;;258,00;7.740.000,00;;;;;;;;;;
6;UDANG REBON;4.456,30;86.177.200,00;;;;;2.682,00;57.268.000,00;19,00;285.000,00;;;;;;;;;;
7;UDANG KROSOK;4.321,90;121.013.200,00;;;2,50;40.000,00;2.411,00;94.321.000,00;130,50;3.523.500,00;;;;;;;;;;
8;BAWAL PUTIH;;;99,00;9.900.000,00;;;;;;;;;;;;;;;;
9;BAWAL HITAM;;;;;;;;;;;;;;;;;;;;
10;BLANAK;;;660,00;3.960.000,00;;;;;;;;;;;;;;;;
11;BALENG;;;;;;;;;;;;;;;;;;;;
12;CUCUT;;;;;;;;;;;;;;;;;;;;
13;CERMING;;;;;;;;;;;;;;;;;;;;
14;CAKALANG;;;;;;;;;;;;;;;;;;;;
15;CUMI - CUMI;;;;;;;;;;;;;;;;;;;;
16;DEBLEG;;;;;;;;;;;;;;;;;;;;
17;ETONG;;;;;;;;;;;;;;;;;;;;
18;GEROK;;;;;;;;;;;;;;;;;;;;
19;GOGOKAN;;;;;;;;;;;;;;;;;;;;
20;GEMBUNG;17,50;630.000,00;;;;;;;;;;;;;;;;;;
21;GABEL;;;;;;;;;;;;;;;;;;;;
22;KAKAP;23,30;908.700,00;;;;;;;;;;;;;;;;;;
23;KACANGAN;;;;;;;;;;;;;;;;;;;;
24;KEONG;;;;;;;;;;;;;;;;;;;;
25;LAYARAN;;;;;;;;;;;;;;;;;;;;
26;LAYUR;11,90;166.600,00;;;;;;;;;;;;;;;;;;
27;LEMERU / SIRO;;;;;;;;;;;;;;;;;;;;
28;LEMADANG;;;;;;;;;;;;;;;;;;;;
29;LIDAH / LENDRA;3.244,00;26.025.500,00;;;;;550,00;16.734.000,00;61,00;488.000,00;;;;;;;;;;
30;LEMBUTAN;;;6.708,00;11.557.000,00;;;;;;;;;;;;;;;;
31;MANYUNG;;;;;;;;;;;;;;;;;;;;
32;MEKA;;;;;;;;;;;;;;;;;;;;
33;MONTOK;1.971,80;7.887.200,00;171,00;342.000,00;;;;;;;;;;;;;;;;
34;MAMUNG;;;;;;;;;;;;;;;;;;;;
35;PARI / PEH;;;;;;;;;;;;;;;;;;;;
36;RAJUNGAN;;;;;;;407,50;10.672.000,00;;;;;;;;;;;;
37;RIJEK;;;;;;;;;;;;;;;;;;;;
38;SONGOT / JAHAN;;;;;;;;;;;;;;;;;;;;
39;TONGKOL BAKOR;;;;;;;;;69,50;1.042.500,00;;;;;;;;;;
40;TONGKOL JABRIK;270,50;4.869.000,00;700,00;7.000.000,00;;;;;;;;;;;;;;;;
41;TONGKOL TUNA;;;;;;;;;;;;;;;;;;;;
42;TENGIRI;;;;;;;;;;;;;;;;;;;;
43;TANJAN;;;190,00;570.000,00;;;;;;;;;;;;;;;;
44;TERI;;;2.115,00;14.805.000,00;;;;;;;;;;;;;;;;
45;UBUR - UBUR;;;;;;;;;;;;;;;;;;;;
46;LAIN - LAIN;4.940,70;22.687.760,00;;;;;3.064,90;38.878.470,00;68,00;341.500,00;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;Jumlah;19.872,60;300.633.660,00;10.643,00;48.134.000,00;12.035,40;1.701.061.900,00;9.115,40;217.873.470,00;606,00;13.420.500,00;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
PENJENISAN IKAN DAN UDANG;;;;;;;;;;;;;;;;;;;;;
DI TPI KABUPATEN CILACAP;;;;;;;;;;;;;;;;;;;;;
BULAN : FEBRUARI 2016;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
NO;NAMA IKAN;PPSC;;B. DONAN / BATRE;;PANDANARANG;;JUMLAH;;JUMLAH S/D BLN INI;;;;;;;;;;;
;;Kg;Rp.;;;Kg;Rp.;Kg;Rp.;Kg;Rp.;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
1;UDANG JERBUNG;2.879,00;485.996.700,00;;;;;9.474,90;1.623.854.400,00;24.914,50;4.454.590.800,00;;;;;;;;;;
2;UDANG DOGOL;689,80;47.950.000,00;;;;;1.526,70;93.977.700,00;4.263,30;297.702.100,00;;;;;;;;;;
3;UDANG TIGER;67,80;12.107.600,00;;;;;74,50;13.708.000,00;146,00;30.022.900,00;;;;;;;;;;
4;UDANG PECI;2.946,00;330.736.600,00;;;;;8.102,10;874.565.200,00;19.198,90;2.189.541.100,00;;;;;;;;;;
5;UDANG BARAT;;;;;;;310,00;9.716.000,00;720,00;20.903.000,00;;;;;;;;;;
6;UDANG REBON;;;;;;;7.157,30;143.730.200,00;12.622,60;249.361.600,00;;;;;;;;;;
7;UDANG KROSOK;;;;;;;6.865,90;218.897.700,00;20.708,00;629.583.900,00;;;;;;;;;;
8;BAWAL PUTIH;140,00;14.000.000,00;;;;;239,00;23.900.000,00;5.185,20;878.861.550,00;;;;;;;;;;
9;BAWAL HITAM;;;;;1.867,60;312.291.210,00;1.867,60;312.291.210,00;1.867,60;312.291.210,00;;;;;;;;;;
10;BLANAK;;;;;;;660,00;3.960.000,00;970,00;5.510.000,00;;;;;;;;;;
11;BALENG;;;;;22,50;562.500,00;22,50;562.500,00;22,50;562.500,00;;;;;;;;;;
12;CUCUT;13.005,00;48.220.000,00;1.025,00;6.150.000,00;;;14.030,00;54.370.000,00;46.822,00;183.825.000,00;;;;;;;;;;
13;CERMING;;;;;42,00;1.470.000,00;42,00;1.470.000,00;42,00;1.470.000,00;;;;;;;;;;
14;CAKALANG;;;;;;;0,00;0,00;0,00;0,00;;;;;;;;;;
15;CUMI - CUMI;1.100,00;4.250.000,00;;;;;1.100,00;4.250.000,00;12.800,00;49.375.000,00;;;;;;;;;;
16;DEBLEG;;;;;;;0,00;0,00;0,00;0,00;;;;;;;;;;
17;ETONG;;;;;;;0,00;0,00;0,00;0,00;;;;;;;;;;
18;GEROK;;;;;;;0,00;0,00;0,00;0,00;;;;;;;;;;
19;GOGOKAN;76,00;620.000,00;;;;;76,00;620.000,00;438,00;3.425.000,00;;;;;;;;;;
20;GEMBUNG;;;;;;;17,50;630.000,00;300,30;8.548.400,00;;;;;;;;;;
21;GABEL;;;;;;;0,00;0,00;74,00;222.000,00;;;;;;;;;;
22;KAKAP;;;;;14,00;392.000,00;37,30;1.300.700,00;71,30;2.350.700,00;;;;;;;;;;
23;KACANGAN;;;;;14,00;280.000,00;14,00;280.000,00;14,00;280.000,00;;;;;;;;;;
24;KEONG;;;;;;;0,00;0,00;0,00;0,00;;;;;;;;;;
25;LAYARAN;;;;;;;0,00;0,00;0,00;0,00;;;;;;;;;;
26;LAYUR;;;;;;;11,90;166.600,00;1.663,40;54.219.100,00;;;;;;;;;;
27;LEMERU / SIRO;;;;;;;0,00;0,00;0,00;0,00;;;;;;;;;;
28;LEMADANG;4.530,00;18.275.000,00;;;6,50;162.500,00;4.536,50;18.437.500,00;9.986,50;39.187.500,00;;;;;;;;;;
29;LIDAH;;;;;;;3.855,00;43.247.500,00;8.777,30;90.496.100,00;;;;;;;;;;
30;LEMBUTAN;;;;;;;6.708,00;11.557.000,00;63.385,00;99.240.000,00;;;;;;;;;;
31;MANYUNG;;;;;;;0,00;0,00;0,00;0,00;;;;;;;;;;
32;MEKA;;;;;;;0,00;0,00;500,00;2.400.000,00;;;;;;;;;;
33;MONTOK;;;;;138,50;1.950.000,00;2.281,30;10.179.200,00;5.055,80;25.287.700,00;;;;;;;;;;
34;MAMUNG;;;;;;;0,00;0,00;92,50;2.035.000,00;;;;;;;;;;
35;PARI / PEH;4.805,00;7.504.000,00;;;;;4.805,00;7.504.000,00;7.788,00;16.574.000,00;;;;;;;;;;
36;RAJUNGAN;;;;;11,50;287.500,00;419,00;10.959.500,00;741,00;20.308.000,00;;;;;;;;;;
37;RIJEK;;;710,00;2.665.500,00;;;710,00;2.665.500,00;14.795,00;84.844.500,00;;;;;;;;;;
38;SONGOT / JAHAN;5.250,00;22.170.000,00;;;70,00;1.050.000,00;5.320,00;23.220.000,00;9.524,00;51.280.000,00;;;;;;;;;;
39;TONGKOL BAKOR;2.000,00;12.000.000,00;1.350,00;6.750.000,00;;;3.419,50;19.792.500,00;34.277,50;152.639.500,00;;;;;;;;;;
40;TONGKOL JABRIK;20.130,00;78.850.000,00;;;;;21.100,50;90.719.000,00;26.092,30;140.587.800,00;;;;;;;;;;
41;TONGKOL TUNA;2.200,00;17.600.000,00;1.395,00;9.067.500,00;;;3.595,00;26.667.500,00;13.815,00;108.427.500,00;;;;;;;;;;
42;TENGIRI;;;;;;;0,00;0,00;0,00;0,00;;;;;;;;;;
43;TANJAN;;;;;;;190,00;570.000,00;208,00;624.000,00;;;;;;;;;;
44;TERI;;;;;;;2.115,00;14.805.000,00;2.444,00;16.450.000,00;;;;;;;;;;
45;UBUR - UBUR;;;;;;;0,00;0,00;0,00;0,00;;;;;;;;;;
46;LAIN - LAIN;18.984,00;86.802.000,00;;;48,10;1.130.000,00;27.105,70;149.839.730,00;48.839,70;289.039.350,00;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
