PENJENISAN IKAN DAN UDANG;;;;;;;;;;;;;;;;;;;;;
DI TPI KABUPATEN CILACAP;;;;;;;;;;;;;;;;;;;;;
BULAN : JANUARI 2016;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
NO;NAMA IKAN;KEMIREN;;SENTOLO KAWAT;;SIDAKAYA;;TEGAL KATILAYU;;LENGKONG;;;;;;;;;;;
;;Kg;Rp.;Kg;Rp.;Kg;Rp.;Kg;Rp.;Kg;Rp.;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
1;UDANG JERBUNG;;;;;9.257,80;1.715.544.100,00;;;;;;;;;;;;;;
2;UDANG DOGOL;524,30;26.215.000,00;;;443,20;32.944.100,00;;;13,50;405.000,00;;;;;;;;;;
3;UDANG TIGER;;;;;9,20;2.166.600,00;;;;;;;;;;;;;;
4;UDANG PECI;;;;;7.307,10;854.967.700,00;;;;;;;;;;;;;;
5;UDANG BARAT;13,00;468.000,00;;;;;;;397,00;10.719.000,00;;;;;;;;;;
6;UDANG REBON;3.333,80;58.993.400,00;;;;;2.078,50;46.320.000,00;53,00;318.000,00;;;;;;;;;;
7;UDANG KROSOK;7.610,30;212.953.200,00;;;;;4.847,30;163.120.500,00;1.384,50;34.612.500,00;;;;;;;;;;
8;BAWAL PUTIH;;;22,50;2.250.000,00;;;;;;;;;;;;;;;;
9;BAWAL HITAM;;;;;;;;;;;;;;;;;;;;
10;BLANAK;;;310,00;1.550.000,00;;;;;;;;;;;;;;;;
11;BALENG;;;;;;;;;;;;;;;;;;;;
12;CUCUT;;;;;;;;;;;;;;;;;;;;
13;CERMING;;;;;;;;;;;;;;;;;;;;
14;CAKALANG;;;;;;;;;;;;;;;;;;;;
15;CUMI - CUMI;;;;;;;;;;;;;;;;;;;;
16;DEBLEG;;;;;;;;;;;;;;;;;;;;
17;ETONG;;;;;;;;;;;;;;;;;;;;
18;GEROK;;;;;;;;;;;;;;;;;;;;
19;GOGOKAN;;;;;;;;;;;;;;;;;;;;
20;GEMBUNG;282,80;7.918.400,00;;;;;;;;;;;;;;;;;;
21;GABEL;;;;;;;;;;;;;;;;;;;;
22;KAKAP;6,00;210.000,00;;;;;;;;;;;;;;;;;;
23;KACANGAN;;;;;;;;;;;;;;;;;;;;
24;KEONG;;;;;;;;;;;;;;;;;;;;
25;LAYARAN;;;;;;;;;;;;;;;;;;;;
26;LAYUR;;;150,00;1.500.000,00;;;;;;;;;;;;;;;;
27;LEMERU / SIRO;;;;;;;;;;;;;;;;;;;;
28;LEMADANG;;;;;;;;;;;;;;;;;;;;
29;LIDAH;4.311,30;30.616.600,00;;;;;517,00;16.068.000,00;94,00;564.000,00;;;;;;;;;;
30;LEMBUTAN;;;56.677,00;87.683.000,00;;;;;;;;;;;;;;;;
31;MANYUNG;;;;;;;;;;;;;;;;;;;;
32;MEKA;;;;;;;;;;;;;;;;;;;;
33;MONTOK;823,50;4.117.500,00;1.218,00;2.436.000,00;;;;;;;;;;;;;;;;
34;MAMUNG;92,50;2.035.000,00;;;;;;;;;;;;;;;;;;
35;PARI / PEH;;;;;;;;;;;;;;;;;;;;
36;RAJUNGAN;;;;;;;266,50;7.961.000,00;;;;;;;;;;;;
37;RIJEK;;;;;;;;;;;;;;;;;;;;
38;SONGOT / JAHAN;;;;;;;;;;;;;;;;;;;;
39;TONGKOL BAKOR;;;;;;;;;503,00;7.042.000,00;;;;;;;;;;
40;TONGKOL JABRIK;2.491,80;39.868.800,00;;;;;;;;;;;;;;;;;;
41;TONGKOL TUNA;;;;;;;;;;;;;;;;;;;;
42;TENGIRI;;;;;;;;;;;;;;;;;;;;
43;TANJAN;;;18,00;54.000,00;;;;;;;;;;;;;;;;
44;TERI;;;329,00;1.645.000,00;;;;;;;;;;;;;;;;
45;UBUR - UBUR;;;;;;;;;;;;;;;;;;;;
46;LAIN - LAIN;5.295,50;9.144.490,00;;;;;3.088,50;34.605.130,00;128,00;222.500,00;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;Jumlah;24.784,80;392.540.390,00;58.724,50;97.118.000,00;17.017,30;2.605.622.500,00;10.797,80;268.074.630,00;2.573,00;53.883.000,00;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
PENJENISAN IKAN DAN UDANG;;;;;;;;;;;;;;;;;;;;;
DI TPI KABUPATEN CILACAP;;;;;;;;;;;;;;;;;;;;;
BULAN : JANUARI 2016;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
NO;NAMA IKAN;PPSC;;B. DONAN / BATRE;;PANDANARANG;;JUMLAH;;JUMLAH S/D BLN INI;;;;;;;;;;;
;;Kg;Rp.;;;Kg;Rp.;Kg;Rp.;Kg;Rp.;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
1;UDANG JERBUNG;6.181,80;1.115.192.300,00;;;;;15.439,60;2.830.736.400,00;;;;;;;;;;;;
2;UDANG DOGOL;1.755,60;144.160.300,00;;;;;2.736,60;203.724.400,00;;;;;;;;;;;;
3;UDANG TIGER;62,30;14.148.300,00;;;;;71,50;16.314.900,00;;;;;;;;;;;;
4;UDANG PECI;3.789,70;460.008.200,00;;;;;11.096,80;1.314.975.900,00;;;;;;;;;;;;
5;UDANG BARAT;;;;;;;410,00;11.187.000,00;;;;;;;;;;;;
6;UDANG REBON;;;;;;;5.465,30;105.631.400,00;;;;;;;;;;;;
7;UDANG KROSOK;;;;;;;13.842,10;410.686.200,00;;;;;;;;;;;;
8;BAWAL PUTIH;;;;;4.923,70;852.711.550,00;4.946,20;854.961.550,00;;;;;;;;;;;;
9;BAWAL HITAM;;;;;;;0,00;0,00;;;;;;;;;;;;
10;BLANAK;;;;;;;310,00;1.550.000,00;;;;;;;;;;;;
11;BALENG;;;;;;;0,00;0,00;;;;;;;;;;;;
12;CUCUT;32.788,00;129.215.000,00;;;4,00;240.000,00;32.792,00;129.455.000,00;;;;;;;;;;;;
13;CERMING;;;;;;;0,00;0,00;;;;;;;;;;;;
14;CAKALANG;;;;;;;0,00;0,00;;;;;;;;;;;;
15;CUMI - CUMI;11.700,00;45.125.000,00;;;;;11.700,00;45.125.000,00;;;;;;;;;;;;
16;DEBLEG;;;;;;;0,00;0,00;;;;;;;;;;;;
17;ETONG;;;;;;;0,00;0,00;;;;;;;;;;;;
18;GEROK;;;;;;;0,00;0,00;;;;;;;;;;;;
19;GOGOKAN;362,00;2.805.000,00;;;;;362,00;2.805.000,00;;;;;;;;;;;;
20;GEMBUNG;;;;;;;282,80;7.918.400,00;;;;;;;;;;;;
21;GABEL;;;;;74,00;222.000,00;74,00;222.000,00;;;;;;;;;;;;
22;KAKAP;;;;;28,00;840.000,00;34,00;1.050.000,00;;;;;;;;;;;;
23;KACANGAN;;;;;;;0,00;0,00;;;;;;;;;;;;
24;KEONG;;;;;;;0,00;0,00;;;;;;;;;;;;
25;LAYARAN;;;;;;;0,00;0,00;;;;;;;;;;;;
26;LAYUR;;;;;1.501,50;52.552.500,00;1.651,50;54.052.500,00;;;;;;;;;;;;
27;LEMERU / SIRO;;;;;;;0,00;0,00;;;;;;;;;;;;
28;LEMADANG;5.450,00;20.750.000,00;;;;;5.450,00;20.750.000,00;;;;;;;;;;;;
29;LIDAH;;;;;;;4.922,30;47.248.600,00;;;;;;;;;;;;
30;LEMBUTAN;;;;;;;56.677,00;87.683.000,00;;;;;;;;;;;;
31;MANYUNG;;;;;;;0,00;0,00;;;;;;;;;;;;
32;MEKA;500,00;2.400.000,00;;;;;500,00;2.400.000,00;;;;;;;;;;;;
33;MONTOK;;;;;733,00;8.555.000,00;2.774,50;15.108.500,00;;;;;;;;;;;;
34;MAMUNG;;;;;;;92,50;2.035.000,00;;;;;;;;;;;;
35;PARI / PEH;2.840,00;7.640.000,00;;;143,00;1.430.000,00;2.983,00;9.070.000,00;;;;;;;;;;;;
36;RAJUNGAN;;;;;55,50;1.387.500,00;322,00;9.348.500,00;;;;;;;;;;;;
37;RIJEK;;;14.085,00;82.179.000,00;;;14.085,00;82.179.000,00;;;;;;;;;;;;
38;SONGOT / JAHAN;3.240,00;13.600.000,00;;;964,00;14.460.000,00;4.204,00;28.060.000,00;;;;;;;;;;;;
39;TONGKOL BAKOR;28.200,00;112.875.000,00;2.155,00;12.930.000,00;;;30.858,00;132.847.000,00;;;;;;;;;;;;
40;TONGKOL JABRIK;2.500,00;10.000.000,00;;;;;4.991,80;49.868.800,00;;;;;;;;;;;;
41;TONGKOL TUNA;2.400,00;19.200.000,00;7.820,00;62.560.000,00;;;10.220,00;81.760.000,00;;;;;;;;;;;;
42;TENGIRI;;;;;;;0,00;0,00;;;;;;;;;;;;
43;TANJAN;;;;;;;18,00;54.000,00;;;;;;;;;;;;
44;TERI;;;;;;;329,00;1.645.000,00;;;;;;;;;;;;
45;UBUR - UBUR;;;;;;;0,00;0,00;;;;;;;;;;;;
46;LAIN - LAIN;11.448,00;51.314.000,00;;;1.774,00;43.913.500,00;21.734,00;139.199.620,00;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;Jumlah;113.217,40;2.148.433.100,00;24.060,00;157.669.000,00;10.200,70;976.312.050,00;261.375,50;6.699.652.670,00;;;;;;;;;;;;
