PENJENISAN IKAN DAN UDANG;;;;;;;;;;;;;;;;;;;;;
DI TPI KABUPATEN CILACAP;;;;;;;;;;;;;;;;;;;;;
BULAN : FEBRUARI 2017;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
NO;NAMA IKAN;KEMIREN;;SENTOLO KAWAT;;SIDAKAYA;;TEGAL KATILAYU;;LENGKONG;;;;;;;;;;;
;;Kg;Rp.;Kg;Rp.;Kg;Rp.;Kg;Rp.;Kg;Rp.;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
1;UDANG JERBUNG;;;;;987,50;147.203.900,00;;;;;;;;;;;;;;
2;UDANG DOGOL;68,80;6.880.000,00;;;2,70;126.900,00;;;;;;;;;;;;;;
3;UDANG TIGER;;;;;;;;;;;;;;;;;;;;
4;UDANG PECI;;;;;594,00;59.257.700,00;;;;;;;;;;;;;;
5;UDANG BARAT;;;;;;;;;;;;;;;;;;;;
6;UDANG REBON;19.879,00;197.159.500,00;;;;;4.412,20;125.271.500,00;58.685,50;306.318.350,00;;;;;;;;;;
7;UDANG KROSOK;6.192,50;141.816.700,00;33.880,00;169.400.000,00;;;38.745,50;373.387.500,00;840,50;16.810.000,00;;;;;;;;;;
8;BAWAL PUTIH;;;;;;;;;;;;;;;;;;;;
9;BAWAL HITAM;;;;;;;;;;;;;;;;;;;;
10;BLANAK;;;;;;;;;;;;;;;;;;;;
11;BALENG;;;;;;;;;;;;;;;;;;;;
12;CUCUT;;;;;;;;;;;;;;;;;;;;
13;CERMING;;;;;;;;;;;;;;;;;;;;
14;CAKALANG;;;;;;;;;;;;;;;;;;;;
15;CUMI - CUMI;;;;;;;;;;;;;;;;;;;;
16;DEBLEG;;;;;;;;;;;;;;;;;;;;
17;ETONG;;;;;;;;;;;;;;;;;;;;
18;GEROK;;;;;;;;;;;;;;;;;;;;
19;GOGOKAN;;;;;;;;;;;;;;;;;;;;
20;GEMBUNG;;;;;;;;;;;;;;;;;;;;
21;GABEL;;;;;;;;;;;;;;;;;;;;
22;KAKAP;10,70;428.000,00;;;;;;;2,00;40.000,00;;;;;;;;;;
23;KACANGAN;19,30;231.600,00;;;;;;;;;;;;;;;;;;
24;KEONG;;;;;;;;;;;;;;;;;;;;
25;LAYARAN;;;;;;;;;;;;;;;;;;;;
26;LAYUR;;;878,00;5.268.000,00;;;;;;;;;;;;;;;;
27;LEMERU / SIRO;;;;;;;;;;;;;;;;;;;;
28;LEMADANG;;;;;;;;;;;;;;;;;;;;
29;LIDAH / LENDRA;6.133,60;85.870.400,00;;;;;;;1.050,50;10.308.000,00;;;;;;;;;;
30;LEMBUTAN;;;12.851,00;28.251.000,00;;;;;;;;;;;;;;;;
31;MANYUNG;;;;;;;;;;;;;;;;;;;;
32;MEKA;;;;;;;;;;;;;;;;;;;;
33;MONTOK;505,00;5.050.000,00;;;;;;;;;;;;;;;;;;
34;MAMUNG;;;;;;;;;;;;;;;;;;;;
35;PARI / PEH;;;;;;;;;;;;;;;;;;;;
36;RAJUNGAN;;;;;;;;;;;;;;;;;;;;
37;RIJEK;;;;;;;;;;;;;;;;;;;;
38;SONGOT / JAHAN;;;;;;;;;;;;;;;;;;;;
39;TONGKOL BAKOR;;;;;;;;;;;;;;;;;;;;
40;TONGKOL JABRIK;;;;;;;;;;;;;;;;;;;;
41;TONGKOL TUNA;;;;;;;;;;;;;;;;;;;;
42;TENGIRI;;;;;;;;;;;;;;;;;;;;
43;TANJAN;;;74,00;222.000,00;;;;;;;;;;;;;;;;
44;TERI;;;466,00;3.262.000,00;;;;;;;;;;;;;;;;
45;UBUR - UBUR;;;;;;;;;;;;;;;;;;;;
46;LAIN - LAIN;2.126,00;10.849.500,00;;;;;3.938,20;37.512.030,00;145,00;372.150,00;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;Jumlah;34.934,90;448.285.700,00;48.149,00;206.403.000,00;1.584,20;206.588.500,00;47.095,90;536.171.030,00;60.723,50;333.848.500,00;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
PENJENISAN IKAN DAN UDANG;;;;;;;;;;;;;;;;;;;;;
DI TPI KABUPATEN CILACAP;;;;;;;;;;;;;;;;;;;;;
BULAN : FEBRUARI 2017;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
NO;NAMA IKAN;PPSC;;B. DONAN / BATRE;;PANDANARANG;;JUMLAH;;JUMLAH S/D BLN INI;;;;;;;;;;;
;;Kg;Rp.;;;Kg;Rp.;Kg;Rp.;Kg;Rp.;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
1;UDANG JERBUNG;;;;;;;987,50;147.203.900,00;1.968,40;297.471.500,00;;;;;;;;;;
2;UDANG DOGOL;;;;;;;71,50;7.006.900,00;192,10;18.728.900,00;;;;;;;;;;
3;UDANG TIGER;;;;;;;0,00;0,00;0,00;0,00;;;;;;;;;;
4;UDANG PECI;;;;;;;594,00;59.257.700,00;1.216,00;117.333.200,00;;;;;;;;;;
5;UDANG BARAT;;;;;;;0,00;0,00;0,00;0,00;;;;;;;;;;
6;UDANG REBON;;;;;;;82.976,70;628.749.350,00;130.972,70;1.038.092.150,00;;;;;;;;;;
7;UDANG KROSOK;;;;;;;79.658,50;701.414.200,00;90.542,00;960.020.600,00;;;;;;;;;;
8;BAWAL PUTIH;;;;;70,80;12.863.000,00;70,80;12.863.000,00;70,80;12.863.000,00;;;;;;;;;;
9;BAWAL HITAM;;;;;;;0,00;0,00;0,00;0,00;;;;;;;;;;
10;BLANAK;;;;;;;0,00;0,00;0,00;0,00;;;;;;;;;;
11;BALENG;;;;;;;0,00;0,00;0,00;0,00;;;;;;;;;;
12;CUCUT;240,00;720.000,00;;;;;240,00;720.000,00;30.116,00;114.528.000,00;;;;;;;;;;
13;CERMING;;;;;;;0,00;0,00;0,00;0,00;;;;;;;;;;
14;CAKALANG;;;;;;;0,00;0,00;12.965,00;80.235.000,00;;;;;;;;;;
15;CUMI - CUMI;;;;;;;0,00;0,00;0,00;0,00;;;;;;;;;;
16;DEBLEG;;;;;;;0,00;0,00;0,00;0,00;;;;;;;;;;
17;ETONG;;;;;;;0,00;0,00;0,00;0,00;;;;;;;;;;
18;GEROK;;;;;;;0,00;0,00;0,00;0,00;;;;;;;;;;
19;GOGOKAN;320,00;1.920.000,00;;;;;320,00;1.920.000,00;320,00;1.920.000,00;;;;;;;;;;
20;GEMBUNG;;;;;;;0,00;0,00;0,00;0,00;;;;;;;;;;
21;GABEL;;;;;;;0,00;0,00;0,00;0,00;;;;;;;;;;
22;KAKAP;;;;;;;12,70;468.000,00;46,00;1.800.000,00;;;;;;;;;;
23;KACANGAN;;;;;;;19,30;231.600,00;53,30;741.600,00;;;;;;;;;;
24;KEONG;;;;;;;0,00;0,00;0,00;0,00;;;;;;;;;;
25;LAYARAN;;;;;;;0,00;0,00;1.600,00;10.800.000,00;;;;;;;;;;
26;LAYUR;;;;;;;878,00;5.268.000,00;948,00;5.618.000,00;;;;;;;;;;
27;LEMERU / SIRO;;;;;;;0,00;0,00;0,00;0,00;;;;;;;;;;
28;LEMADANG;;;;;;;0,00;0,00;0,00;0,00;;;;;;;;;;
29;LIDAH;;;;;;;7.184,10;96.178.400,00;13.153,60;172.538.400,00;;;;;;;;;;
30;LEMBUTAN;;;;;;;12.851,00;28.251.000,00;17.027,00;40.720.000,00;;;;;;;;;;
31;MANYUNG;;;;;;;0,00;0,00;0,00;0,00;;;;;;;;;;
32;MEKA;;;;;;;0,00;0,00;3.800,00;22.500.000,00;;;;;;;;;;
33;MONTOK;;;;;;;505,00;5.050.000,00;1.055,50;12.206.500,00;;;;;;;;;;
34;MAMUNG;;;;;;;0,00;0,00;0,00;0,00;;;;;;;;;;
35;PARI / PEH;;;;;;;0,00;0,00;0,00;0,00;;;;;;;;;;
36;RAJUNGAN;;;;;;;0,00;0,00;0,00;0,00;;;;;;;;;;
37;RIJEK;;;;;;;0,00;0,00;7.650,00;38.250.000,00;;;;;;;;;;
38;SONGOT / JAHAN;2.880,00;11.600.000,00;;;55,00;825.000,00;2.935,00;12.425.000,00;8.344,00;43.242.000,00;;;;;;;;;;
39;TONGKOL BAKOR;;;;;;;0,00;0,00;26.142,00;162.944.000,00;;;;;;;;;;
40;TONGKOL JABRIK;4.500,00;27.000.000,00;;;;;4.500,00;27.000.000,00;14.690,00;81.140.000,00;;;;;;;;;;
41;TONGKOL TUNA;240,00;2.400.000,00;;;;;240,00;2.400.000,00;43.810,00;418.470.000,00;;;;;;;;;;
42;TENGIRI;;;;;;;0,00;0,00;0,00;0,00;;;;;;;;;;
43;TANJAN;;;;;;;74,00;222.000,00;74,00;222.000,00;;;;;;;;;;
44;TERI;;;;;;;466,00;3.262.000,00;466,00;3.262.000,00;;;;;;;;;;
45;UBUR - UBUR;;;;;;;0,00;0,00;0,00;0,00;;;;;;;;;;
46;LAIN - LAIN;750,00;4.500.000,00;;;;;6.959,20;53.233.680,00;25.280,50;171.901.470,00;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;Jumlah;8.930,00;48.140.000,00;0,00;0,00;125,80;13.688.000,00;201.543,30;1.793.124.730,00;432.502,90;3.827.548.320,00;;;;;;;;;;
