PENJENISAN IKAN DAN UDANG;;;;;;;;;;;;;;;;;;;;;
DI TPI KABUPATEN CILACAP;;;;;;;;;;;;;;;;;;;;;
BULAN : JULI 2016;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
NO;NAMA IKAN;KEMIREN;;SENTOLO KAWAT;;SIDAKAYA;;TEGAL KATILAYU;;LENGKONG;;;;;;;;;;;
;;Kg;Rp.;Kg;Rp.;Kg;Rp.;Kg;Rp.;Kg;Rp.;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
1;UDANG JERBUNG;;;;;370,70;58.604.500,00;;;;;;;;;;;;;;
2;UDANG DOGOL;;;;;14,00;1.323.000,00;;;;;;;;;;;;;;
3;UDANG TIGER;;;;;;;;;;;;;;;;;;;;
4;UDANG PECI;;;;;216,00;23.295.200,00;;;;;;;;;;;;;;
5;UDANG BARAT;9,00;270.000,00;;;;;;;;;;;;;;;;;;
6;UDANG REBON;3.061,70;55.091.500,00;9,00;27.000,00;;;10.963,50;162.605.000,00;;;;;;;;;;;;
7;UDANG KROSOK;423,20;12.696.000,00;;;;;1.088,50;37.034.000,00;;;;;;;;;;;;
8;BAWAL PUTIH;;;;;;;;;;;;;;;;;;;;
9;BAWAL HITAM;;;;;;;;;;;;;;;;;;;;
10;BLANAK;;;;;;;;;;;;;;;;;;;;
11;BALENG;;;;;;;;;;;;;;;;;;;;
12;CUCUT;;;;;;;;;;;;;;;;;;;;
13;CERMING;;;;;;;;;;;;;;;;;;;;
14;CAKALANG;;;;;;;;;;;;;;;;;;;;
15;CUMI - CUMI;;;;;;;;;;;;;;;;;;;;
16;DEBLEG;;;;;;;;;;;;;;;;;;;;
17;ETONG;;;;;;;;;;;;;;;;;;;;
18;GEROK;;;;;;;;;;;;;;;;;;;;
19;GOGOKAN;;;;;;;;;;;;;;;;;;;;
20;GEMBUNG;;;;;;;;;;;;;;;;;;;;
21;GABEL;;;;;;;;;;;;;;;;;;;;
22;KAKAP;;;;;;;;;;;;;;;;;;;;
23;KACANGAN;2,10;56.700,00;;;;;;;;;;;;;;;;;;
24;KEONG;;;;;;;;;;;;;;;;;;;;
25;LAYARAN;;;;;;;;;;;;;;;;;;;;
26;LAYUR;;;10.259,00;169.273.500,00;2.820,00;56.400.000,00;242,70;7.281.000,00;;;;;;;;;;;;
27;LEMERU / SIRO;;;;;;;;;;;;;;;;;;;;
28;LEMADANG;;;;;;;;;;;;;;;;;;;;
29;LIDAH;106,00;1.060.000,00;;;;;;;;;;;;;;;;;;
30;LEMBUTAN;;;2.542,00;7.899.500,00;;;;;;;;;;;;;;;;
31;MANYUNG;;;;;;;;;;;;;;;;;;;;
32;MEKA;;;;;;;;;;;;;;;;;;;;
33;MONTOK;290,50;4.357.500,00;;;;;;;;;;;;;;;;;;
34;MAMUNG;;;;;;;;;;;;;;;;;;;;
35;PARI / PEH;;;;;;;;;;;;;;;;;;;;
36;RAJUNGAN;;;;;;;;;;;;;;;;;;;;
37;RIJEK;;;;;;;;;;;;;;;;;;;;
38;SONGOT / JAHAN;;;;;;;;;;;;;;;;;;;;
39;TONGKOL BAKOR;;;;;;;;;;;;;;;;;;;;
40;TONGKOL JABRIK;4,50;90.000,00;;;;;;;;;;;;;;;;;;
41;TONGKOL TUNA;;;;;;;;;;;;;;;;;;;;
42;TENGIRI;;;;;;;;;;;;;;;;;;;;
43;TANJAN;;;;;;;;;;;;;;;;;;;;
44;TERI;;;27,00;162.000,00;;;;;;;;;;;;;;;;
45;UBUR - UBUR;;;;;;;;;;;;;;;;;;;;
46;LAIN - LAIN;741,80;5.626.360,00;;;;;1.926,40;25.681.300,00;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;Jumlah;4.638,80;79.248.060,00;12.837,00;177.362.000,00;3.420,70;139.622.700,00;14.221,10;232.601.300,00;0,00;0,00;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
PENJENISAN IKAN DAN UDANG;;;;;;;;;;;;;;;;;;;;;
DI TPI KABUPATEN CILACAP;;;;;;;;;;;;;;;;;;;;;
BULAN : JULI 2016;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
NO;NAMA IKAN;PPSC;;B. DONAN / BATRE;;PANDANARANG;;JUMLAH;;JUMLAH S/D BLN INI;;;;;;;;;;;
;;Kg;Rp.;;;Kg;Rp.;Kg;Rp.;Kg;Rp.;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
1;UDANG JERBUNG;169,20;26.591.600,00;;;;;539,90;85.196.100,00;44.512,49;7.575.597.750,00;;;;;;;;;;
2;UDANG DOGOL;16,10;1.481.400,00;;;;;30,10;2.804.400,00;9.945,40;592.138.900,00;;;;;;;;;;
3;UDANG TIGER;1,50;343.500,00;;;;;1,50;343.500,00;346,20;69.859.400,00;;;;;;;;;;
4;UDANG LOBSTER;48,50;5.284.000,00;;;;;264,50;28.579.200,00;29.153,50;3.153.116.800,00;;;;;;;;;;
5;UDANG BARAT;;;;;;;9,00;270.000,00;4.755,50;129.158.750,00;;;;;;;;;;
6;UDANG REBON;;;;;;;14.034,20;217.723.500,00;85.722,46;1.497.808.225,00;;;;;;;;;;
7;UDANG KROSOK;;;;;;;1.511,70;49.730.000,00;34.594,80;1.046.294.800,00;;;;;;;;;;
8;BAWAL PUTIH;;;;;110,40;17.197.750,00;110,40;17.197.750,00;6.818,30;1.081.922.540,00;;;;;;;;;;
9;BAWAL HITAM;;;;;;;0,00;0,00;1.867,60;312.291.210,00;;;;;;;;;;
10;BLANAK;;;;;;;0,00;0,00;7.262,00;41.212.000,00;;;;;;;;;;
11;BALENG;;;;;;;0,00;0,00;155,50;1.227.500,00;;;;;;;;;;
12;CUCUT;20.412,00;80.250.000,00;;;;;20.412,00;80.250.000,00;247.201,00;1.050.809.000,00;;;;;;;;;;
13;CERMING;;;;;;;0,00;0,00;42,00;1.470.000,00;;;;;;;;;;
14;CAKALANG;;;6.865,00;48.055.000,00;;;6.865,00;48.055.000,00;31.069,00;193.279.000,00;;;;;;;;;;
15;CUMI - CUMI;;;1.775,00;10.650.000,00;;;1.775,00;10.650.000,00;58.845,90;289.419.300,00;;;;;;;;;;
16;DEBLEG;;;;;;;0,00;0,00;0,00;0,00;;;;;;;;;;
17;ETONG;;;;;;;0,00;0,00;0,00;0,00;;;;;;;;;;
18;GEROK;;;;;12,50;387.500,00;12,50;387.500,00;12,50;387.500,00;;;;;;;;;;
19;GOGOKAN;;;;;;;0,00;0,00;1.111,00;22.365.000,00;;;;;;;;;;
20;GEMBUNG;;;;;;;0,00;0,00;585,50;16.131.300,00;;;;;;;;;;
21;GABEL;;;;;;;0,00;0,00;74,00;222.000,00;;;;;;;;;;
22;KAKAP;;;;;;;0,00;0,00;98,80;3.204.700,00;;;;;;;;;;
23;KACANGAN;;;;;;;2,10;56.700,00;16,10;336.700,00;;;;;;;;;;
24;KEONG;;;;;;;0,00;0,00;10.243,00;90.221.000,00;;;;;;;;;;
25;LAYARAN;5.640,00;36.400.000,00;;;;;5.640,00;36.400.000,00;25.632,00;156.217.000,00;;;;;;;;;;
26;LAYUR;100.922,00;1.513.830.000,00;8.748,00;139.968.000,00;;;122.991,70;1.886.752.500,00;171.444,60;2.590.743.200,00;;;;;;;;;;
27;LEMERU / SIRO;;;;;;;0,00;0,00;0,00;0,00;;;;;;;;;;
28;LEMADANG;;;;;;;0,00;0,00;12.737,50;50.942.500,00;;;;;;;;;;
29;LIDAH;;;;;;;106,00;1.060.000,00;13.436,70;153.320.450,00;;;;;;;;;;
30;LEMBUTAN;;;;;;;2.542,00;7.899.500,00;98.250,00;178.275.000,00;;;;;;;;;;
31;MANYUNG;;;;;;;0,00;0,00;0,00;0,00;;;;;;;;;;
32;MEKA;2.500,00;15.000.000,00;;;;;2.500,00;15.000.000,00;9.520,00;56.980.000,00;;;;;;;;;;
33;MONTOK;;;;;;;290,50;4.357.500,00;13.022,10;65.621.200,00;;;;;;;;;;
34;MAMUNG;;;;;;;0,00;0,00;92,50;2.035.000,00;;;;;;;;;;
35;PARI / PEH;;;;;;;0,00;0,00;8.417,00;17.812.500,00;;;;;;;;;;
36;RAJUNGAN;;;;;;;0,00;0,00;741,00;20.308.000,00;;;;;;;;;;
37;RIJEK;;;3.681,00;21.662.000,00;;;3.681,00;21.662.000,00;113.725,00;494.686.500,00;;;;;;;;;;
38;SONGOT / JAHAN;1.270,00;5.350.000,00;;;;;1.270,00;5.350.000,00;37.417,80;174.519.000,00;;;;;;;;;;
39;TONGKOL BAKOR;31.200,00;187.230.000,00;7.290,00;58.320.000,00;;;38.490,00;245.550.000,00;295.683,50;1.786.753.500,00;;;;;;;;;;
40;TONGKOL JABRIK;7.400,00;39.625.000,00;;;;;7.404,50;39.715.000,00;224.356,60;1.227.897.000,00;;;;;;;;;;
41;TONGKOL TUNA;19.090,00;190.900.000,00;;;;;19.090,00;190.900.000,00;139.358,00;1.219.967.500,00;;;;;;;;;;
42;TENGIRI;;;;;;;0,00;0,00;13,50;607.500,00;;;;;;;;;;
43;TANJAN;;;;;;;0,00;0,00;2.230,00;6.696.000,00;;;;;;;;;;
44;TERI;;;;;;;27,00;162.000,00;2.572,00;17.230.000,00;;;;;;;;;;
45;UBUR - UBUR;;;;;;;0,00;0,00;1.584,40;4.527.390,00;;;;;;;;;;
46;LAIN - LAIN;28.680,00;171.600.000,00;;;56,50;1.525.500,00;31.404,70;204.433.160,00;184.395,50;1.149.249.725,00;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;Jumlah;217.349,30;2.273.885.500,00;28.359,00;278.655.000,00;179,40;19.110.750,00;281.005,30;3.200.485.310,00;1.929.062,25;26.542.862.340,00;;;;;;;;;;
