PENJENISAN IKAN DAN UDANG;;;;;;;;;;;;;;;;;;;;;
DI TPI KABUPATEN CILACAP;;;;;;;;;;;;;;;;;;;;;
BULAN : JUNI 2016;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
NO;NAMA IKAN;KEMIREN;;SENTOLO KAWAT;;SIDAKAYA;;TEGAL KATILAYU;;LENGKONG;;;;;;;;;;;
;;Kg;Rp.;Kg;Rp.;Kg;Rp.;Kg;Rp.;Kg;Rp.;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
1;UDANG JERBUNG;;;;;3.376,70;591.151.200,00;;;;;;;;;;;;;;
2;UDANG DOGOL;0,30;60.000,00;;;276,20;17.221.900,00;;;;;;;;;;;;;;
3;UDANG TIGER;;;;;18,70;3.614.100,00;;;;;;;;;;;;;;
4;UDANG PECI;;;;;1.346,90;141.490.100,00;;;;;;;;;;;;;;
5;UDANG BARAT;;;;;;;;;;;;;;;;;;;;
6;UDANG REBON;10.939,96;196.640.700,00;;;;;17.484,00;291.249.000,00;4.649,00;68.770.125,00;;;;;;;;;;
7;UDANG KROSOK;794,30;23.829.000,00;;;;;714,40;26.546.000,00;160,00;3.727.000,00;;;;;;;;;;
8;BAWAL PUTIH;;;;;;;;;;;;;;;;;;;;
9;BAWAL HITAM;;;;;;;;;;;;;;;;;;;;
10;BLANAK;;;;;;;;;;;;;;;;;;;;
11;BALENG;;;;;;;;;;;;;;;;;;;;
12;CUCUT;;;;;;;;;;;;;;;;;;;;
13;CERMING;;;;;;;;;;;;;;;;;;;;
14;CAKALANG;;;;;;;;;;;;;;;;;;;;
15;CUMI - CUMI;;;;;;;;;;;;;;;;;;;;
16;DEBLEG;;;;;;;;;;;;;;;;;;;;
17;ETONG;;;;;;;;;;;;;;;;;;;;
18;GEROK;;;;;;;;;;;;;;;;;;;;
19;GOGOKAN;;;;;;;;;;;;;;;;;;;;
20;GEMBUNG;;;;;;;;;;;;;;;;;;;;
21;GABEL;;;;;;;;;;;;;;;;;;;;
22;KAKAP;;;;;;;;;;;;;;;;;;;;
23;KACANGAN;;;;;;;;;;;;;;;;;;;;
24;KEONG;;;;;;;;;;;;;;;;;;;;
25;LAYARAN;;;;;;;;;;;;;;;;;;;;
26;LAYUR;;;151,00;755.000,00;;;;;;;;;;;;;;;;
27;LEMERU / SIRO;;;;;;;;;;;;;;;;;;;;
28;LEMADANG;;;;;;;;;;;;;;;;;;;;
29;LIDAH;857,80;11.151.400,00;;;;;;;70,00;700.000,00;;;;;;;;;;
30;LEMBUTAN;;;692,00;1.732.000,00;;;;;;;;;;;;;;;;
31;MANYUNG;;;;;;;;;;;;;;;;;;;;
32;MEKA;;;;;;;;;;;;;;;;;;;;
33;MONTOK;1.117,80;8.942.400,00;;;;;;;;;;;;;;;;;;
34;MAMUNG;;;;;;;;;;;;;;;;;;;;
35;PARI / PEH;;;;;;;;;;;;;;;;;;;;
36;RAJUNGAN;;;;;;;;;;;;;;;;;;;;
37;RIJEK;;;;;;;;;;;;;;;;;;;;
38;SONGOT / JAHAN;;;;;;;;;;;;;;;;;;;;
39;TONGKOL BAKOR;;;;;;;;;4,00;80.000,00;;;;;;;;;;
40;TONGKOL JABRIK;;;;;;;;;;;;;;;;;;;;
41;TONGKOL TUNA;;;;;;;;;;;;;;;;;;;;
42;TENGIRI;;;;;;;;;;;;;;;;;;;;
43;TANJAN;;;8,00;24.000,00;;;;;;;;;;;;;;;;
44;TERI;;;;;;;;;;;;;;;;;;;;
45;UBUR - UBUR;1.584,40;4.527.390,00;;;;;;;;;;;;;;;;;;
46;LAIN - LAIN;;;;;;;2.836,10;41.056.070,00;191,00;637.875,00;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;Jumlah;15.294,56;245.150.890,00;851,00;2.511.000,00;5.018,50;753.477.300,00;21.034,50;358.851.070,00;5.074,00;73.915.000,00;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
PENJENISAN IKAN DAN UDANG;;;;;;;;;;;;;;;;;;;;;
DI TPI KABUPATEN CILACAP;;;;;;;;;;;;;;;;;;;;;
BULAN : JUNI 2016;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
NO;NAMA IKAN;PPSC;;B. DONAN / BATRE;;PANDANARANG;;JUMLAH;;JUMLAH S/D BLN INI;;;;;;;;;;;
;;Kg;Rp.;;;Kg;Rp.;Kg;Rp.;Kg;Rp.;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
1;UDANG JERBUNG;2.873,80;471.166.600,00;;;;;6.250,50;1.062.317.800,00;43.972,59;7.490.401.650,00;;;;;;;;;;
2;UDANG DOGOL;503,30;32.742.500,00;;;;;779,80;50.024.400,00;9.915,30;589.334.500,00;;;;;;;;;;
3;UDANG TIGER;53,80;12.218.100,00;;;;;72,50;15.832.200,00;344,70;69.515.900,00;;;;;;;;;;
4;UDANG PECI;1.294,00;125.110.200,00;;;;;2.640,90;266.600.300,00;28.889,00;3.124.537.600,00;;;;;;;;;;
5;UDANG BARAT;;;;;;;0,00;0,00;4.746,50;128.888.750,00;;;;;;;;;;
6;UDANG REBON;;;;;;;33.072,96;556.659.825,00;71.688,26;1.280.084.725,00;;;;;;;;;;
7;UDANG KROSOK;;;;;;;1.668,70;54.102.000,00;33.083,10;996.564.800,00;;;;;;;;;;
8;BAWAL PUTIH;;;;;35,20;6.274.100,00;35,20;6.274.100,00;6.707,90;1.064.724.790,00;;;;;;;;;;
9;BAWAL HITAM;;;;;;;0,00;0,00;1.867,60;312.291.210,00;;;;;;;;;;
10;BLANAK;;;;;;;0,00;0,00;7.262,00;41.212.000,00;;;;;;;;;;
11;BALENG;;;;;;;0,00;0,00;155,50;1.227.500,00;;;;;;;;;;
12;CUCUT;53.708,00;191.792.500,00;11.671,00;81.697.000,00;17,00;204.000,00;65.396,00;273.693.500,00;226.789,00;970.559.000,00;;;;;;;;;;
13;CERMING;;;;;;;0,00;0,00;42,00;1.470.000,00;;;;;;;;;;
14;CAKALANG;;;16.121,00;96.726.000,00;;;16.121,00;96.726.000,00;24.204,00;145.224.000,00;;;;;;;;;;
15;CUMI - CUMI;1.689,00;8.445.000,00;;;;;1.689,00;8.445.000,00;57.070,90;278.769.300,00;;;;;;;;;;
16;DEBLEG;;;;;;;0,00;0,00;0,00;0,00;;;;;;;;;;
17;ETONG;;;;;;;0,00;0,00;0,00;0,00;;;;;;;;;;
18;GEROK;;;;;;;0,00;0,00;0,00;0,00;;;;;;;;;;
19;GOGOKAN;;;;;;;0,00;0,00;1.111,00;22.365.000,00;;;;;;;;;;
20;GEMBUNG;;;;;;;0,00;0,00;585,50;16.131.300,00;;;;;;;;;;
21;GABEL;;;;;;;0,00;0,00;74,00;222.000,00;;;;;;;;;;
22;KAKAP;;;;;;;0,00;0,00;98,80;3.204.700,00;;;;;;;;;;
23;KACANGAN;;;;;;;0,00;0,00;14,00;280.000,00;;;;;;;;;;
24;KEONG;760,00;7.600.000,00;;;;;760,00;7.600.000,00;10.243,00;90.221.000,00;;;;;;;;;;
25;LAYARAN;18.189,00;109.134.000,00;;;;;18.189,00;109.134.000,00;19.992,00;119.817.000,00;;;;;;;;;;
26;LAYUR;44.664,00;638.300.000,00;;;;;44.815,00;639.055.000,00;48.452,90;703.990.700,00;;;;;;;;;;
27;LEMERU / SIRO;;;;;;;0,00;0,00;0,00;0,00;;;;;;;;;;
28;LEMADANG;60,00;300.000,00;;;;;60,00;300.000,00;12.737,50;50.942.500,00;;;;;;;;;;
29;LIDAH;;;;;;;927,80;11.851.400,00;13.330,70;152.260.450,00;;;;;;;;;;
30;LEMBUTAN;;;;;;;692,00;1.732.000,00;95.708,00;170.375.500,00;;;;;;;;;;
31;MANYUNG;;;;;;;0,00;0,00;0,00;0,00;;;;;;;;;;
32;MEKA;4.750,00;28.500.000,00;;;;;4.750,00;28.500.000,00;7.020,00;41.980.000,00;;;;;;;;;;
33;MONTOK;;;;;;;1.117,80;8.942.400,00;12.731,60;61.263.700,00;;;;;;;;;;
34;MAMUNG;;;;;;;0,00;0,00;92,50;2.035.000,00;;;;;;;;;;
35;PARI / PEH;265,00;397.500,00;;;11,00;132.000,00;276,00;529.500,00;8.417,00;17.812.500,00;;;;;;;;;;
36;RAJUNGAN;;;;;;;0,00;0,00;741,00;20.308.000,00;;;;;;;;;;
37;RIJEK;;;21.429,00;87.298.000,00;;;21.429,00;87.298.000,00;110.044,00;473.024.500,00;;;;;;;;;;
38;SONGOT / JAHAN;5.830,00;25.050.000,00;;;;;5.830,00;25.050.000,00;36.147,80;169.169.000,00;;;;;;;;;;
39;TONGKOL BAKOR;116.800,00;688.800.000,00;11.409,00;79.863.000,00;;;128.213,00;768.743.000,00;257.193,50;1.541.203.500,00;;;;;;;;;;
40;TONGKOL JABRIK;21.700,00;110.660.000,00;43.939,00;263.634.000,00;;;65.639,00;374.294.000,00;216.952,10;1.188.182.000,00;;;;;;;;;;
41;TONGKOL TUNA;29.120,00;291.200.000,00;12.320,00;98.560.000,00;;;41.440,00;389.760.000,00;120.268,00;1.029.067.500,00;;;;;;;;;;
42;TENGIRI;;;;;;;0,00;0,00;13,50;607.500,00;;;;;;;;;;
43;TANJAN;;;;;;;8,00;24.000,00;2.230,00;6.696.000,00;;;;;;;;;;
44;TERI;;;;;;;0,00;0,00;2.545,00;17.068.000,00;;;;;;;;;;
45;UBUR - UBUR;;;;;;;1.584,40;4.527.390,00;1.584,40;4.527.390,00;;;;;;;;;;
46;LAIN - LAIN;32.290,00;205.460.000,00;;;;;35.317,10;247.153.945,00;152.990,80;944.816.565,00;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;Jumlah;334.549,90;2.946.876.400,00;116.889,00;707.778.000,00;63,20;6.610.100,00;498.774,66;5.095.169.760,00;1.648.056,95;23.342.377.030,00;;;;;;;;;;
