PENJENISAN IKAN DAN UDANG;;;;;;;;;;;;;;;;;;;;;
DI TPI KABUPATEN CILACAP;;;;;;;;;;;;;;;;;;;;;
BULAN : MARET 2016;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
NO;NAMA IKAN;KEMIREN;;SENTOLO KAWAT;;SIDAKAYA;;TEGAL KATILAYU;;LENGKONG;;;;;;;;;;;
;;Kg;Rp.;Kg;Rp.;Kg;Rp.;Kg;Rp.;Kg;Rp.;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
1;UDANG JERBUNG;4,30;430.000,00;;;4.046,10;591.278.700,00;;;;;;;;;;;;;;
2;UDANG DOGOL;1.257,10;50.284.000,00;;;782,20;44.604.700,00;;;4,50;135.000,00;;;;;;;;;;
3;UDANG TIGER;;;;;18,80;3.738.200,00;;;;;;;;;;;;;;
4;UDANG PECI;;;;;2.558,00;241.020.900,00;;;;;;;;;;;;;;
5;UDANG BARAT;26,50;927.500,00;;;;;;;1.959,00;54.852.000,00;;;;;;;;;;
6;UDANG REBON;5.328,70;116.504.800,00;1.292,00;3.876.000,00;;;4.339,00;83.068.000,00;29,50;142.500,00;;;;;;;;;;
7;UDANG KROSOK;3.658,90;98.790.300,00;;;;;1.501,00;56.390.000,00;300,50;8.113.500,00;;;;;;;;;;
8;BAWAL PUTIH;;;60,00;600.000,00;;;;;;;;;;;;;;;;
9;BAWAL HITAM;;;;;;;;;;;;;;;;;;;;
10;BLANAK;;;5.267,00;31.602.000,00;;;;;;;;;;;;;;;;
11;BALENG;;;;;;;;;133,00;665.000,00;;;;;;;;;;
12;CUCUT;;;;;;;;;;;;;;;;;;;;
13;CERMING;;;;;;;;;;;;;;;;;;;;
14;CAKALANG;;;;;;;;;;;;;;;;;;;;
15;CUMI - CUMI;3,90;261.300,00;;;;;;;;;;;;;;;;;;
16;DEBLEG;;;;;;;;;;;;;;;;;;;;
17;ETONG;;;;;;;;;;;;;;;;;;;;
18;GEROK;;;;;;;;;;;;;;;;;;;;
19;GOGOKAN;;;;;;;;;;;;;;;;;;;;
20;GEMBUNG;23,50;517.000,00;;;;;;;;;;;;;;;;;;
21;GABEL;;;;;;;;;;;;;;;;;;;;
22;KAKAP;21,70;651.000,00;;;;;;;;;;;;;;;;;;
23;KACANGAN;;;;;;;;;;;;;;;;;;;;
24;KEONG;;;;;;;2.681,00;24.430.000,00;;;;;;;;;;;;
25;LAYARAN;;;;;;;;;;;;;;;;;;;;
26;LAYUR;;;194,00;776.000,00;;;;;57,50;862.500,00;;;;;;;;;;
27;LEMERU / SIRO;;;;;;;;;;;;;;;;;;;;
28;LEMADANG;;;;;;;;;;;;;;;;;;;;
29;LIDAH;2.666,00;37.324.000,00;;;;;;;45,50;455.000,00;;;;;;;;;;
30;LEMBUTAN;;;17.853,00;35.501.000,00;;;;;;;;;;;;;;;;
31;MANYUNG;;;;;;;;;;;;;;;;;;;;
32;MEKA;;;;;;;;;;;;;;;;;;;;
33;MONTOK;2.571,80;10.327.200,00;1.584,00;3.168.000,00;;;;;270,00;1.350.000,00;;;;;;;;;;
34;MAMUNG;;;;;;;;;;;;;;;;;;;;
35;PARI / PEH;;;;;;;;;;;;;;;;;;;;
36;RAJUNGAN;;;;;;;;;;;;;;;;;;;;
37;RIJEK;;;;;;;;;;;;;;;;;;;;
38;SONGOT / JAHAN;180,00;720.000,00;;;;;;;134,00;2.010.000,00;;;;;;;;;;
39;TONGKOL BAKOR;;;;;;;;;;;;;;;;;;;;
40;TONGKOL JABRIK;351,90;7.389.900,00;;;;;;;;;;;;;;;;;;
41;TONGKOL TUNA;;;;;;;;;;;;;;;;;;;;
42;TENGIRI;;;;;;;;;;;;;;;;;;;;
43;TANJAN;;;1.891,00;5.673.000,00;;;;;;;;;;;;;;;;
44;TERI;;;12,00;84.000,00;;;;;;;;;;;;;;;;
45;UBUR - UBUR;;;;;;;;;;;;;;;;;;;;
46;LAIN - LAIN;5.263,80;16.066.650,00;;;;;2.382,40;31.820.310,00;357,00;1.201.000,00;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;Jumlah;21.358,10;340.193.650,00;28.153,00;81.280.000,00;7.405,10;880.642.500,00;10.903,40;195.708.310,00;3.290,50;69.786.500,00;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
PENJENISAN IKAN DAN UDANG;;;;;;;;;;;;;;;;;;;;;
DI TPI KABUPATEN CILACAP;;;;;;;;;;;;;;;;;;;;;
BULAN : MARET 2016;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
NO;NAMA IKAN;PPSC;;B. DONAN / BATRE;;PANDANARANG;;JUMLAH;;JUMLAH S/D BLN INI;;;;;;;;;;;
;;Kg;Rp.;;;Kg;Rp.;Kg;Rp.;Kg;Rp.;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
1;UDANG JERBUNG;1.331,10;192.491.100,00;;;;;5.381,50;784.199.800,00;30.296,00;5.238.790.600,00;;;;;;;;;;
2;UDANG DOGOL;331,80;18.848.400,00;;;;;2.375,60;113.872.100,00;6.638,90;411.574.200,00;;;;;;;;;;
3;UDANG TIGER;25,20;4.628.600,00;;;;;44,00;8.366.800,00;190,00;38.389.700,00;;;;;;;;;;
4;UDANG PECI;1.063,00;100.228.600,00;;;;;3.621,00;341.249.500,00;22.819,90;2.530.790.600,00;;;;;;;;;;
5;UDANG BARAT;;;;;;;1.985,50;55.779.500,00;2.705,50;76.682.500,00;;;;;;;;;;
6;UDANG REBON;;;;;;;10.989,20;203.591.300,00;23.611,80;452.952.900,00;;;;;;;;;;
7;UDANG KROSOK;;;;;;;5.460,40;163.293.800,00;26.168,40;792.877.700,00;;;;;;;;;;
8;BAWAL PUTIH;63,50;6.350.000,00;;;771,00;86.413.000,00;894,50;93.363.000,00;6.079,70;972.224.550,00;;;;;;;;;;
9;BAWAL HITAM;;;;;;;0,00;0,00;1.867,60;312.291.210,00;;;;;;;;;;
10;BLANAK;;;;;;;5.267,00;31.602.000,00;6.237,00;37.112.000,00;;;;;;;;;;
11;BALENG;;;;;;;133,00;665.000,00;155,50;1.227.500,00;;;;;;;;;;
12;CUCUT;30.449,00;128.579.000,00;;;24,00;360.000,00;30.473,00;128.939.000,00;77.295,00;312.764.000,00;;;;;;;;;;
13;CERMING;;;;;;;0,00;0,00;42,00;1.470.000,00;;;;;;;;;;
14;CAKALANG;;;8.083,00;48.498.000,00;;;8.083,00;48.498.000,00;8.083,00;48.498.000,00;;;;;;;;;;
15;CUMI - CUMI;28.000,00;140.000.000,00;9.048,00;54.288.000,00;;;37.051,90;194.549.300,00;49.851,90;243.924.300,00;;;;;;;;;;
16;DEBLEG;;;;;;;0,00;0,00;0,00;0,00;;;;;;;;;;
17;ETONG;;;;;;;0,00;0,00;0,00;0,00;;;;;;;;;;
18;GEROK;;;;;;;0,00;0,00;0,00;0,00;;;;;;;;;;
19;GOGOKAN;66,00;660.000,00;;;;;66,00;660.000,00;504,00;4.085.000,00;;;;;;;;;;
20;GEMBUNG;;;;;;;23,50;517.000,00;323,80;9.065.400,00;;;;;;;;;;
21;GABEL;;;;;;;0,00;0,00;74,00;222.000,00;;;;;;;;;;
22;KAKAP;;;;;;;21,70;651.000,00;93,00;3.001.700,00;;;;;;;;;;
23;KACANGAN;;;;;;;0,00;0,00;14,00;280.000,00;;;;;;;;;;
24;KEONG;905,00;9.050.000,00;;;;;3.586,00;33.480.000,00;3.586,00;33.480.000,00;;;;;;;;;;
25;LAYARAN;215,00;1.155.000,00;;;;;215,00;1.155.000,00;215,00;1.155.000,00;;;;;;;;;;
26;LAYUR;;;;;10,00;393.100,00;261,50;2.031.600,00;1.924,90;56.250.700,00;;;;;;;;;;
27;LEMERU / SIRO;;;;;;;0,00;0,00;0,00;0,00;;;;;;;;;;
28;LEMADANG;2.040,00;8.200.000,00;521,00;2.605.000,00;;;2.561,00;10.805.000,00;12.547,50;49.992.500,00;;;;;;;;;;
29;LIDAH;;;;;;;2.711,50;37.779.000,00;11.488,80;128.275.100,00;;;;;;;;;;
30;LEMBUTAN;;;;;;;17.853,00;35.501.000,00;81.238,00;134.741.000,00;;;;;;;;;;
31;MANYUNG;;;;;;;0,00;0,00;0,00;0,00;;;;;;;;;;
32;MEKA;850,00;5.100.000,00;;;;;850,00;5.100.000,00;1.350,00;7.500.000,00;;;;;;;;;;
33;MONTOK;;;;;33,50;400.000,00;4.459,30;15.245.200,00;9.515,10;40.532.900,00;;;;;;;;;;
34;MAMUNG;;;;;;;0,00;0,00;92,50;2.035.000,00;;;;;;;;;;
35;PARI / PEH;;;;;;;0,00;0,00;7.788,00;16.574.000,00;;;;;;;;;;
36;RAJUNGAN;;;;;;;0,00;0,00;741,00;20.308.000,00;;;;;;;;;;
37;RIJEK;;;16.367,00;64.696.000,00;;;16.367,00;64.696.000,00;31.162,00;149.540.500,00;;;;;;;;;;
38;SONGOT / JAHAN;7.055,00;30.075.000,00;;;;;7.369,00;32.805.000,00;16.893,00;84.085.000,00;;;;;;;;;;
39;TONGKOL BAKOR;5.250,00;28.500.000,00;17.174,00;120.218.000,00;;;22.424,00;148.718.000,00;56.701,50;301.357.500,00;;;;;;;;;;
40;TONGKOL JABRIK;11.360,00;56.800.000,00;9.783,00;58.698.000,00;8,50;127.500,00;21.503,40;123.015.400,00;47.595,70;263.603.200,00;;;;;;;;;;
41;TONGKOL TUNA;3.460,00;27.680.000,00;12.050,00;96.400.000,00;;;15.510,00;124.080.000,00;29.325,00;232.507.500,00;;;;;;;;;;
42;TENGIRI;;;;;13,50;607.500,00;13,50;607.500,00;13,50;607.500,00;;;;;;;;;;
43;TANJAN;;;;;;;1.891,00;5.673.000,00;2.099,00;6.297.000,00;;;;;;;;;;
44;TERI;;;;;;;12,00;84.000,00;2.456,00;16.534.000,00;;;;;;;;;;
45;UBUR - UBUR;;;;;;;0,00;0,00;0,00;0,00;;;;;;;;;;
