PENJENISAN IKAN DAN UDANG;;;;;;;;;;;;;;;;;;;;;
DI TPI KABUPATEN CILACAP;;;;;;;;;;;;;;;;;;;;;
BULAN : MARET 2017;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
NO;NAMA IKAN;KEMIREN;;SENTOLO KAWAT;;SIDAKAYA;;TEGAL KATILAYU;;LENGKONG;;;;;;;;;;;
;;Kg;Rp.;Kg;Rp.;Kg;Rp.;Kg;Rp.;Kg;Rp.;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
1;UDANG JERBUNG;;;;;473,70;70.754.600,00;;;;;;;;;;;;;;
2;UDANG DOGOL;96,50;9.650.000,00;;;0,30;12.600,00;;;1,00;30.000,00;;;;;;;;;;
3;UDANG TIGER;;;;;;;;;;;;;;;;;;;;
4;UDANG PECI;;;;;404,80;31.135.400,00;;;;;;;;;;;;;;
5;UDANG BARAT;;;;;;;;;;;;;;;;;;;;
6;UDANG REBON;32.778,70;213.416.800,00;74.937,00;299.748.000,00;;;63.562,50;340.979.500,00;37.115,00;142.166.700,00;;;;;;;;;;
7;UDANG KROSOK;6.614,40;132.054.000,00;;;;;3.509,10;104.590.000,00;2.480,50;47.820.000,00;;;;;;;;;;
8;BAWAL PUTIH;;;;;;;;;;;;;;;;;;;;
9;BAWAL HITAM;;;;;;;;;;;;;;;;;;;;
10;BLANAK;;;;;;;;;;;;;;;;;;;;
11;BALENG;;;;;;;;;;;;;;;;;;;;
12;CUCUT;;;;;;;;;;;;;;;;;;;;
13;CERMING;;;;;;;;;;;;;;;;;;;;
14;CAKALANG;;;;;;;;;;;;;;;;;;;;
15;CUMI - CUMI;;;;;;;;;;;;;;;;;;;;
16;DEBLEG;;;;;;;;;;;;;;;;;;;;
17;ETONG;;;;;;;;;;;;;;;;;;;;
18;GEROK;;;;;;;;;;;;;;;;;;;;
19;GOGOKAN;;;;;;;;;;;;;;;;;;;;
20;GEMBUNG;;;;;;;;;;;;;;;;;;;;
21;GABEL;;;;;;;;;;;;;;;;;;;;
22;KAKAP;;;;;;;;;;;;;;;;;;;;
23;KACANGAN;27,70;387.800,00;;;;;;;;;;;;;;;;;;
24;KEONG;;;;;;;;;;;;;;;;;;;;
25;LAYARAN;;;;;;;;;;;;;;;;;;;;
26;LAYUR;;;435,00;2.175.000,00;;;;;;;;;;;;;;;;
27;LEMERU / SIRO;;;;;;;;;;;;;;;;;;;;
28;LEMADANG;;;;;;;;;;;;;;;;;;;;
29;LIDAH;5.045,00;70.630.000,00;;;;;;;185,00;1.850.000,00;;;;;;;;;;
30;LEMBUTAN;;;4.573,00;13.573.000,00;;;;;;;;;;;;;;;;
31;MANYUNG;;;;;;;;;;;;;;;;;;;;
32;MEKA;;;;;;;;;;;;;;;;;;;;
33;MONTOK;322,00;3.864.000,00;;;;;;;17,00;85.000,00;;;;;;;;;;
34;MAMUNG;;;;;;;;;;;;;;;;;;;;
35;PARI / PEH;;;;;;;;;;;;;;;;;;;;
36;RAJUNGAN;;;;;;;;;;;;;;;;;;;;
37;RIJEK;;;;;;;;;;;;;;;;;;;;
38;SONGOT / JAHAN;15,00;165.000,00;;;;;;;;;;;;;;;;;;
39;TONGKOL BAKOR;;;;;;;;;;;;;;;;;;;;
40;TONGKOL JABRIK;;;;;;;;;;;;;;;;;;;;
41;TONGKOL TUNA;;;;;;;;;;;;;;;;;;;;
42;TENGIRI;;;62,00;2.480.000,00;;;;;;;;;;;;;;;;
43;TANJAN;;;;;;;;;;;;;;;;;;;;
44;TERI;;;4.284,00;34.272.000,00;;;;;;;;;;;;;;;;
45;UBUR - UBUR;;;;;;;;;;;;;;;;;;;;
46;LAIN - LAIN;1.948,40;5.844.080,00;;;;;4.776,00;47.181.120,00;55,00;2.088.550,00;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;Jumlah;46.847,70;436.011.680,00;84.291,00;352.248.000,00;878,80;101.902.600,00;71.847,60;492.750.620,00;39.853,50;194.040.250,00;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
PENJENISAN IKAN DAN UDANG;;;;;;;;;;;;;;;;;;;;;
DI TPI KABUPATEN CILACAP;;;;;;;;;;;;;;;;;;;;;
BULAN : MARET 2017;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
NO;NAMA IKAN;PPSC;;B. DONAN / BATRE;;PANDANARANG;;JUMLAH;;JUMLAH S/D BLN INI;;;;;;;;;;;
;;Kg;Rp.;;;Kg;Rp.;Kg;Rp.;Kg;Rp.;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
1;UDANG JERBUNG;47,20;7.984.200,00;;;;;520,90;78.738.800,00;2.489,30;376.210.300,00;;;;;;;;;;
2;UDANG DOGOL;14,80;673.500,00;;;;;112,60;10.366.100,00;304,70;29.095.000,00;;;;;;;;;;
3;UDANG TIGER;;;;;;;0,00;0,00;0,00;0,00;;;;;;;;;;
4;UDANG PECI;36,50;3.042.000,00;;;;;441,30;34.177.400,00;1.657,30;151.510.600,00;;;;;;;;;;
5;UDANG BARAT;;;;;;;0,00;0,00;0,00;0,00;;;;;;;;;;
6;UDANG REBON;;;;;;;208.393,20;996.311.000,00;339.365,90;2.034.403.150,00;;;;;;;;;;
7;UDANG KROSOK;;;;;;;12.604,00;284.464.000,00;103.146,00;1.244.484.600,00;;;;;;;;;;
8;BAWAL PUTIH;;;;;36,40;9.000.000,00;36,40;9.000.000,00;107,20;21.863.000,00;;;;;;;;;;
9;BAWAL HITAM;;;;;;;0,00;0,00;0,00;0,00;;;;;;;;;;
10;BLANAK;;;;;;;0,00;0,00;0,00;0,00;;;;;;;;;;
11;BALENG;;;;;;;0,00;0,00;0,00;0,00;;;;;;;;;;
12;CUCUT;29.239,00;103.770.000,00;;;;;29.239,00;103.770.000,00;59.355,00;218.298.000,00;;;;;;;;;;
13;CERMING;;;;;;;0,00;0,00;0,00;0,00;;;;;;;;;;
14;CAKALANG;;;9.375,00;56.250.000,00;;;9.375,00;56.250.000,00;22.340,00;136.485.000,00;;;;;;;;;;
15;CUMI - CUMI;15.000,00;90.000.000,00;;;;;15.000,00;90.000.000,00;15.000,00;90.000.000,00;;;;;;;;;;
16;DEBLEG;;;;;;;0,00;0,00;0,00;0,00;;;;;;;;;;
17;ETONG;;;;;;;0,00;0,00;0,00;0,00;;;;;;;;;;
18;GEROK;;;;;;;0,00;0,00;0,00;0,00;;;;;;;;;;
19;GOGOKAN;;;;;;;0,00;0,00;320,00;1.920.000,00;;;;;;;;;;
20;GEMBUNG;;;;;;;0,00;0,00;0,00;0,00;;;;;;;;;;
21;GABEL;;;;;;;0,00;0,00;0,00;0,00;;;;;;;;;;
22;KAKAP;;;;;;;0,00;0,00;46,00;1.800.000,00;;;;;;;;;;
23;KACANGAN;;;;;;;27,70;387.800,00;81,00;1.129.400,00;;;;;;;;;;
24;KEONG;;;;;;;0,00;0,00;0,00;0,00;;;;;;;;;;
25;LAYARAN;6.250,00;37.500.000,00;;;;;6.250,00;37.500.000,00;7.850,00;48.300.000,00;;;;;;;;;;
26;LAYUR;12.358,00;185.370.000,00;504,00;3.587.000,00;;;13.297,00;191.132.000,00;14.245,00;196.750.000,00;;;;;;;;;;
27;LEMERU / SIRO;;;;;;;0,00;0,00;0,00;0,00;;;;;;;;;;
28;LEMADANG;;;;;;;0,00;0,00;0,00;0,00;;;;;;;;;;
29;LIDAH;;;;;;;5.230,00;72.480.000,00;18.383,60;245.018.400,00;;;;;;;;;;
30;LEMBUTAN;;;;;;;4.573,00;13.573.000,00;21.600,00;54.293.000,00;;;;;;;;;;
31;MANYUNG;;;;;;;0,00;0,00;0,00;0,00;;;;;;;;;;
32;MEKA;3.650,00;21.600.000,00;;;;;3.650,00;21.600.000,00;7.450,00;44.100.000,00;;;;;;;;;;
33;MONTOK;;;;;;;339,00;3.949.000,00;1.394,50;16.155.500,00;;;;;;;;;;
34;MAMUNG;;;;;;;0,00;0,00;0,00;0,00;;;;;;;;;;
35;PARI / PEH;;;;;;;0,00;0,00;0,00;0,00;;;;;;;;;;
36;RAJUNGAN;;;;;;;0,00;0,00;0,00;0,00;;;;;;;;;;
37;RIJEK;;;7.194,00;35.970.000,00;;;7.194,00;35.970.000,00;14.844,00;74.220.000,00;;;;;;;;;;
38;SONGOT / JAHAN;3.480,00;17.440.000,00;;;;;3.495,00;17.605.000,00;11.839,00;60.847.000,00;;;;;;;;;;
39;TONGKOL BAKOR;11.250,00;67.500.000,00;4.389,00;30.723.000,00;;;15.639,00;98.223.000,00;41.781,00;261.167.000,00;;;;;;;;;;
40;TONGKOL JABRIK;45.820,00;260.725.000,00;860,00;5.160.000,00;;;46.680,00;265.885.000,00;61.370,00;347.025.000,00;;;;;;;;;;
41;TONGKOL TUNA;9.740,00;97.400.000,00;3.260,00;29.340.000,00;;;13.000,00;126.740.000,00;56.810,00;545.210.000,00;;;;;;;;;;
42;TENGIRI;;;;;77,00;851.500,00;139,00;3.331.500,00;139,00;3.331.500,00;;;;;;;;;;
43;TANJAN;;;;;;;0,00;0,00;74,00;222.000,00;;;;;;;;;;
44;TERI;;;;;;;4.284,00;34.272.000,00;4.750,00;37.534.000,00;;;;;;;;;;
45;UBUR - UBUR;;;;;;;0,00;0,00;0,00;0,00;;;;;;;;;;
46;LAIN - LAIN;4.495,00;24.627.000,00;;;;;11.274,40;79.740.750,00;36.554,90;251.642.220,00;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;Jumlah;141.380,50;917.631.700,00;25.582,00;161.030.000,00;113,40;9.851.500,00;410.794,50;2.665.466.350,00;843.297,40;6.493.014.670,00;;;;;;;;;;
