PENJENISAN IKAN DAN UDANG;;;;;;;;;;;;;;;;;;;;;
DI TPI KABUPATEN CILACAP;;;;;;;;;;;;;;;;;;;;;
BULAN : MEI 2017;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
NO;NAMA IKAN;KEMIREN;;SENTOLO KAWAT;;SIDAKAYA;;TEGAL KATILAYU;;LENGKONG;;;;;;;;;;;
;;Kg;Rp.;Kg;Rp.;Kg;Rp.;Kg;Rp.;Kg;Rp.;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
1;UDANG JERBUNG;;;;;910,70;138.896.100,00;;;;;;;;;;;;;;
2;UDANG DOGOL;38,50;5.775.000,00;40,00;2.000.000,00;11,00;489.000,00;;;;;;;;;;;;;;
3;UDANG TIGER;;;;;;;;;;;;;;;;;;;;
4;UDANG PECI;;;;;487,90;30.833.200,00;;;;;;;;;;;;;;
5;UDANG BARAT;;;;;;;;;;;;;;;;;;;;
6;UDANG REBON;27.749,00;221.980.000,00;10.818,00;43.272.000,00;;;73.915,50;563.104.000,00;52.533,50;326.329.050,00;;;;;;;;;;
7;UDANG KROSOK;1.682,70;58.894.500,00;;;;;2.996,50;93.033.500,00;1.575,00;29.049.250,00;;;;;;;;;;
8;BAWAL PUTIH;;;;;;;;;;;;;;;;;;;;
9;BAWAL HITAM;;;;;;;;;;;;;;;;;;;;
10;BLANAK;;;;;;;;;;;;;;;;;;;;
11;BALENG;;;;;;;;;;;;;;;;;;;;
12;CUCUT;;;;;;;;;;;;;;;;;;;;
13;CERMING;;;;;;;;;;;;;;;;;;;;
14;CAKALANG;;;;;;;;;;;;;;;;;;;;
15;CUMI - CUMI;;;;;;;;;;;;;;;;;;;;
16;DEBLEG;;;;;;;;;;;;;;;;;;;;
17;ETONG;;;;;;;;;;;;;;;;;;;;
18;GEROK;;;;;;;;;;;;;;;;;;;;
19;GOGOKAN;;;;;;;;;;;;;;;;;;;;
20;GEMBUNG;;;;;;;;;;;;;;;;;;;;
21;GABEL;;;;;;;;;;;;;;;;;;;;
22;KAKAP;;;;;;;;;;;;;;;;;;;;
23;KACANGAN;157,00;2.355.000,00;;;;;;;69,00;396.750,00;;;;;;;;;;
24;KEONG;;;;;;;;;;;;;;;;;;;;
25;LAYARAN;;;;;;;;;;;;;;;;;;;;
26;LAYUR;;;1.006,00;5.030.000,00;;;;;;;;;;;;;;;;
27;LEMERU / SIRO;;;;;;;;;;;;;;;;;;;;
28;LEMADANG;;;;;;;;;;;;;;;;;;;;
29;LIDAH;759,80;11.397.000,00;;;;;;;;;;;;;;;;;;
30;LEMBUTAN;;;5.752,00;24.977.000,00;;;;;;;;;;;;;;;;
31;MANYUNG;;;;;;;;;;;;;;;;;;;;
32;MEKA;;;;;;;;;;;;;;;;;;;;
33;MONTOK;431,80;6.477.000,00;;;;;;;;;;;;;;;;;;
34;MAMUNG;;;;;;;;;;;;;;;;;;;;
35;PARI / PEH;;;;;;;;;;;;;;;;;;;;
36;RAJUNGAN;;;;;;;;;;;;;;;;;;;;
37;RIJEK;;;;;;;;;;;;;;;;;;;;
38;SONGOT / JAHAN;;;;;;;;;;;;;;;;;;;;
39;TONGKOL BAKOR;;;;;;;;;;;;;;;;;;;;
40;TONGKOL JABRIK;;;;;;;;;;;;;;;;;;;;
41;TONGKOL TUNA;;;;;;;;;;;;;;;;;;;;
42;TENGIRI;;;353,00;3.530.000,00;;;;;;;;;;;;;;;;
43;TANJAN;;;;;;;;;;;;;;;;;;;;
44;TERI;;;6.387,00;63.870.000,00;;;;;;;;;;;;;;;;
45;UBUR - UBUR;;;;;;;;;;;;;;;;;;;;
46;LAIN - LAIN;1.230,30;4.576.140,00;;;;;4.213,60;39.793.640,00;246,00;687.150,00;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;Jumlah;32.049,10;311.454.640,00;24.356,00;142.679.000,00;1.409,60;170.218.300,00;81.125,60;695.931.140,00;54.423,50;356.462.200,00;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
PENJENISAN IKAN DAN UDANG;;;;;;;;;;;;;;;;;;;;;
DI TPI KABUPATEN CILACAP;;;;;;;;;;;;;;;;;;;;;
BULAN : MEI 2017;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
NO;NAMA IKAN;PPSC;;B. DONAN / BATRE;;PANDANARANG;;JUMLAH;;JUMLAH S/D BLN INI;;;;;;;;;;;
;;Kg;Rp.;;;Kg;Rp.;Kg;Rp.;Kg;Rp.;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
1;UDANG JERBUNG;;;;;;;910,70;138.896.100,00;5.170,10;797.980.200,00;;;;;;;;;;
2;UDANG DOGOL;;;;;;;89,50;8.264.000,00;676,70;59.874.600,00;;;;;;;;;;
3;UDANG TIGER;;;;;;;0,00;0,00;5,80;1.003.500,00;;;;;;;;;;
4;UDANG PECI;;;;;;;487,90;30.833.200,00;3.485,90;289.435.100,00;;;;;;;;;;
5;UDANG BARAT;;;;;;;0,00;0,00;25,00;625.000,00;;;;;;;;;;
6;UDANG REBON;;;;;;;165.016,00;1.154.685.050,00;577.504,70;3.733.119.100,00;;;;;;;;;;
7;UDANG KROSOK;;;;;;;6.254,20;180.977.250,00;124.339,10;1.791.310.350,00;;;;;;;;;;
8;BAWAL PUTIH;;;;;82,40;19.779.850,00;82,40;19.779.850,00;189,60;41.642.850,00;;;;;;;;;;
9;BAWAL HITAM;;;;;;;0,00;0,00;0,00;0,00;;;;;;;;;;
10;BLANAK;;;;;;;0,00;0,00;0,00;0,00;;;;;;;;;;
11;BALENG;;;;;;;0,00;0,00;0,00;0,00;;;;;;;;;;
12;CUCUT;96.890,00;403.594.500,00;;;;;96.890,00;403.594.500,00;225.551,00;886.142.500,00;;;;;;;;;;
13;CERMING;;;;;;;0,00;0,00;0,00;0,00;;;;;;;;;;
14;CAKALANG;;;6.178,00;37.068.000,00;;;6.178,00;37.068.000,00;40.999,00;260.466.200,00;;;;;;;;;;
15;CUMI - CUMI;7.381,00;35.405.000,00;1.475,00;7.375.000,00;;;8.856,00;42.780.000,00;28.390,00;150.975.000,00;;;;;;;;;;
16;DEBLEG;;;;;;;0,00;0,00;0,00;0,00;;;;;;;;;;
17;ETONG;;;;;;;0,00;0,00;0,00;0,00;;;;;;;;;;
18;GEROK;;;;;;;0,00;0,00;0,00;0,00;;;;;;;;;;
19;GOGOKAN;;;;;;;0,00;0,00;620,00;13.920.000,00;;;;;;;;;;
20;GEMBUNG;;;;;4,00;120.000,00;4,00;120.000,00;4,00;120.000,00;;;;;;;;;;
21;GABEL;;;;;;;0,00;0,00;0,00;0,00;;;;;;;;;;
22;KAKAP;;;;;;;0,00;0,00;46,00;1.800.000,00;;;;;;;;;;
23;KACANGAN;;;;;;;226,00;2.751.750,00;307,00;3.881.150,00;;;;;;;;;;
24;KEONG;;;;;;;0,00;0,00;0,00;0,00;;;;;;;;;;
25;LAYARAN;1.107,00;6.642.000,00;;;;;1.107,00;6.642.000,00;11.457,00;69.942.000,00;;;;;;;;;;
26;LAYUR;7.416,00;111.240.000,00;;;;;8.422,00;116.270.000,00;24.279,00;323.770.000,00;;;;;;;;;;
27;LEMERU / SIRO;;;;;;;0,00;0,00;0,00;0,00;;;;;;;;;;
28;LEMADANG;300,00;750.000,00;;;;;300,00;750.000,00;300,00;750.000,00;;;;;;;;;;
29;LIDAH;;;;;;;759,80;11.397.000,00;22.683,40;308.700.400,00;;;;;;;;;;
30;LEMBUTAN;;;;;;;5.752,00;24.977.000,00;29.121,00;83.541.000,00;;;;;;;;;;
31;MANYUNG;;;;;;;0,00;0,00;0,00;0,00;;;;;;;;;;
32;MEKA;1.853,00;11.118.000,00;;;;;1.853,00;11.118.000,00;14.803,00;96.218.000,00;;;;;;;;;;
33;MONTOK;;;;;41,50;619.000,00;473,30;7.096.000,00;2.089,00;25.438.500,00;;;;;;;;;;
34;MAMUNG;;;;;;;0,00;0,00;0,00;0,00;;;;;;;;;;
35;PARI / PEH;;;;;5,00;65.000,00;5,00;65.000,00;5,00;65.000,00;;;;;;;;;;
36;RAJUNGAN;;;;;;;0,00;0,00;0,00;0,00;;;;;;;;;;
37;RIJEK;;;8.524,00;29.464.000,00;;;8.524,00;29.464.000,00;43.672,00;205.204.000,00;;;;;;;;;;
38;SONGOT / JAHAN;320,00;1.600.000,00;;;100,50;1.608.000,00;420,50;3.208.000,00;13.309,50;70.655.000,00;;;;;;;;;;
39;TONGKOL BAKOR;37.889,00;227.334.000,00;8.817,00;61.719.000,00;;;46.706,00;289.053.000,00;145.641,00;906.048.000,00;;;;;;;;;;
40;TONGKOL JABRIK;52.296,00;275.650.000,00;;;;;52.296,00;275.650.000,00;161.132,00;894.896.000,00;;;;;;;;;;
41;TONGKOL TUNA;16.780,00;167.800.000,00;4.160,00;37.440.000,00;;;20.940,00;205.240.000,00;126.741,20;1.219.070.800,00;;;;;;;;;;
42;TENGIRI;;;;;3,00;75.000,00;356,00;3.605.000,00;578,30;9.012.000,00;;;;;;;;;;
43;TANJAN;;;;;;;0,00;0,00;74,00;222.000,00;;;;;;;;;;
44;TERI;;;;;;;6.387,00;63.870.000,00;11.466,00;103.707.000,00;;;;;;;;;;
45;UBUR - UBUR;;;;;;;0,00;0,00;0,00;0,00;;;;;;;;;;
46;LAIN - LAIN;3.400,00;20.400.000,00;450,00;1.800.000,00;6,00;228.000,00;9.545,90;67.484.930,00;74.989,00;503.254.950,00;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;Jumlah;225.632,00;1.261.533.500,00;29.604,00;174.866.000,00;242,40;22.494.850,00;448.842,20;3.135.639.630,00;1.689.654,30;12.852.790.200,00;;;;;;;;;;
