PENJENISAN IKAN DAN UDANG;;;;;;;;;;;;;;;;;;;;;
DI TPI KABUPATEN CILACAP;;;;;;;;;;;;;;;;;;;;;
BULAN : NOPEMBER 2016;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
NO;NAMA IKAN;KEMIREN;;SENTOLO KAWAT;;SIDAKAYA;;TEGAL KATILAYU;;LENGKONG;;;;;;;;;;;
;;Kg;Rp.;Kg;Rp.;Kg;Rp.;Kg;Rp.;Kg;Rp.;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
1;UDANG JERBUNG;;;;;3.143,30;603.876.400,00;;;;;;;;;;;;;;
2;UDANG DOGOL;255,10;25.510.000,00;;;50,00;2.398.800,00;;;9,20;276.000,00;;;;;;;;;;
3;UDANG TIGER;;;;;;;;;;;;;;;;;;;;
4;UDANG PECI;;;;;1.834,70;196.428.200,00;;;;;;;;;;;;;;
5;UDANG BARAT;29,00;870.000,00;;;;;;;1.073,00;24.679.000,00;;;;;;;;;;
6;UDANG REBON;13.957,20;185.594.300,00;347,00;1.041.000,00;;;17.027,00;172.801.000,00;2.261,00;22.143.750,00;;;;;;;;;;
7;UDANG KROSOK;3.702,70;85.162.100,00;;;;;2.890,80;77.809.500,00;815,00;16.300.000,00;;;;;;;;;;
8;BAWAL PUTIH;;;;;;;;;;;;;;;;;;;;
9;BAWAL HITAM;;;;;;;;;;;;;;;;;;;;
10;BLANAK;;;;;;;;;;;;;;;;;;;;
11;BALENG;;;;;;;;;;;;;;;;;;;;
12;CUCUT;;;;;;;;;;;;;;;;;;;;
13;CERMING;;;;;;;;;;;;;;;;;;;;
14;CAKALANG;;;;;;;;;;;;;;;;;;;;
15;CUMI - CUMI;;;;;;;;;;;;;;;;;;;;
16;KERONG;;;;;;;;;;;;;;;;;;;;
17;ETONG;;;;;;;;;;;;;;;;;;;;
18;GEROK;;;;;;;;;;;;;;;;;;;;
19;GOGOKAN;;;;;;;;;;;;;;;;;;;;
20;GEMBUNG;;;;;;;;;;;;;;;;;;;;
21;GABEL;;;;;;;;;;;;;;;;;;;;
22;KAKAP;36,10;1.263.500,00;;;;;;;;;;;;;;;;;;
23;KACANGAN;;;;;;;;;;;;;;;;;;;;
24;KEONG;18,70;374.000,00;;;;;;;;;;;;;;;;;;
25;LAYARAN;;;;;;;;;;;;;;;;;;;;
26;LAYUR;;;454,00;4.540.000,00;200,00;4.000.000,00;;;;;;;;;;;;;;
27;LEMERU / SIRO;;;;;;;;;;;;;;;;;;;;
28;LEMADANG;;;;;;;;;;;;;;;;;;;;
29;LIDAH;499,00;7.485.000,00;;;;;;;2,00;20.000,00;;;;;;;;;;
30;LEMBUTAN;;;5.345,00;13.695.000,00;;;;;;;;;;;;;;;;
31;MANYUNG;;;;;;;;;;;;;;;;;;;;
32;MEKA;;;;;;;;;;;;;;;;;;;;
33;MONTOK;1.901,00;19.010.000,00;;;;;;;;;;;;;;;;;;
34;MAMUNG;;;;;;;;;;;;;;;;;;;;
35;PARI / PEH;;;;;;;;;;;;;;;;;;;;
36;RAJUNGAN;;;;;;;;;;;;;;;;;;;;
37;RIJEK;;;;;;;;;;;;;;;;;;;;
38;SONGOT / JAHAN;76,00;1.520.000,00;500,00;5.000.000,00;;;;;27,00;270.000,00;;;;;;;;;;
39;TONGKOL BAKOR;;;;;;;;;;;;;;;;;;;;
40;TONGKOL JABRIK;21,90;394.200,00;500,00;5.000.000,00;;;;;;;;;;;;;;;;
41;TONGKOL TUNA;;;;;;;;;;;;;;;;;;;;
42;TENGIRI;;;;;;;;;;;;;;;;;;;;
43;TANJAN;;;;;;;;;;;;;;;;;;;;
44;TERI;;;129,00;903.000,00;;;;;;;;;;;;;;;;
45;UBUR - UBUR;;;;;;;;;;;;;;;;;;;;
46;LAIN - LAIN;1.862,10;7.345.990,00;;;;;3.456,10;31.177.000,00;215,00;1.215.750,00;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;Jumlah;22.358,80;334.529.090,00;7.275,00;30.179.000,00;5.228,00;806.703.400,00;23.373,90;281.787.500,00;4.402,20;64.904.500,00;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
PENJENISAN IKAN DAN UDANG;;;;;;;;;;;;;;;;;;;;;
DI TPI KABUPATEN CILACAP;;;;;;;;;;;;;;;;;;;;;
BULAN : NOPEMBER 2016;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
NO;NAMA IKAN;PPSC;;B. DONAN / BATRE;;PANDANARANG;;JUMLAH;;JUMLAH S/D BLN INI;;;;;;;;;;;
;;Kg;Rp.;;;Kg;Rp.;Kg;Rp.;Kg;Rp.;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
1;UDANG JERBUNG;49,10;9.246.600,00;;;;;3.192,40;613.123.000,00;55.625,29;9.707.731.250,00;;;;;;;;;;
2;UDANG DOGOL;20,20;951.500,00;;;;;334,50;29.136.300,00;11.483,50;690.565.500,00;;;;;;;;;;
3;UDANG TIGER;2,30;529.000,00;;;;;2,30;529.000,00;588,30;118.973.400,00;;;;;;;;;;
4;UDANG PECI;32,20;3.576.800,00;;;;;1.866,90;200.005.000,00;36.030,00;3.889.939.600,00;;;;;;;;;;
5;UDANG BARAT;;;;;;;1.102,00;25.549.000,00;10.620,20;252.024.250,00;;;;;;;;;;
6;UDANG REBON;;;;;;;33.592,20;381.580.050,00;315.003,86;3.949.064.125,00;;;;;;;;;;
7;UDANG KROSOK;;;;;;;7.408,50;179.271.600,00;62.744,10;1.676.475.000,00;;;;;;;;;;
8;BAWAL PUTIH;;;;;;;0,00;0,00;7.107,00;1.130.224.790,00;;;;;;;;;;
9;BAWAL HITAM;;;;;;;0,00;0,00;1.867,60;312.291.210,00;;;;;;;;;;
10;BLANAK;;;;;;;0,00;0,00;7.487,00;42.337.000,00;;;;;;;;;;
11;BALENG;;;;;;;0,00;0,00;155,50;1.227.500,00;;;;;;;;;;
12;CUCUT;13.700,00;51.850.000,00;;;;;13.700,00;51.850.000,00;330.096,00;1.381.999.000,00;;;;;;;;;;
13;CERMING;;;;;;;0,00;0,00;42,00;1.470.000,00;;;;;;;;;;
14;CAKALANG;;;;;;;0,00;0,00;100.691,00;632.683.000,00;;;;;;;;;;
15;CUMI - CUMI;;;310,00;2.170.000,00;;;310,00;2.170.000,00;63.885,90;312.639.300,00;;;;;;;;;;
16;KERONG;;;;;;;0,00;0,00;34,00;841.000,00;;;;;;;;;;
17;ETONG;;;;;;;0,00;0,00;100,00;500.000,00;;;;;;;;;;
18;GEROK;;;;;;;0,00;0,00;12,50;387.500,00;;;;;;;;;;
19;GOGOKAN;;;;;;;0,00;0,00;1.111,00;22.365.000,00;;;;;;;;;;
20;GEMBUNG;;;;;;;0,00;0,00;585,50;16.131.300,00;;;;;;;;;;
21;GABEL;;;;;;;0,00;0,00;74,00;222.000,00;;;;;;;;;;
22;KAKAP;;;;;;;36,10;1.263.500,00;298,30;6.198.200,00;;;;;;;;;;
23;KACANGAN;;;;;;;0,00;0,00;16,10;336.700,00;;;;;;;;;;
24;KEONG;;;;;;;18,70;374.000,00;10.261,70;90.595.000,00;;;;;;;;;;
25;LAYARAN;500,00;3.000.000,00;;;;;500,00;3.000.000,00;33.932,00;206.017.000,00;;;;;;;;;;
26;LAYUR;21.624,00;324.360.000,00;2.880,00;43.200.000,00;;;25.158,00;376.100.000,00;358.443,10;5.309.786.200,00;;;;;;;;;;
27;LEMERU / SIRO;;;;;;;0,00;0,00;0,00;0,00;;;;;;;;;;
28;LEMADANG;300,00;1.500.000,00;;;;;300,00;1.500.000,00;13.687,50;55.692.500,00;;;;;;;;;;
29;LIDAH;;;;;;;501,00;7.505.000,00;14.612,50;170.517.450,00;;;;;;;;;;
30;LEMBUTAN;;;;;;;5.345,00;13.695.000,00;164.310,00;343.787.000,00;;;;;;;;;;
31;MANYUNG;;;;;;;0,00;0,00;0,00;0,00;;;;;;;;;;
32;MEKA;2.050,00;11.800.000,00;;;;;2.050,00;11.800.000,00;20.240,00;119.000.000,00;;;;;;;;;;
33;MONTOK;;;;;;;1.901,00;19.010.000,00;20.895,40;152.649.400,00;;;;;;;;;;
34;MAMUNG;;;;;;;0,00;0,00;92,50;2.035.000,00;;;;;;;;;;
35;PARI / PEH;;;;;;;0,00;0,00;8.427,00;17.912.500,00;;;;;;;;;;
36;RAJUNGAN;;;;;;;0,00;0,00;741,00;20.308.000,00;;;;;;;;;;
37;RIJEK;;;11.420,00;57.100.000,00;;;11.420,00;57.100.000,00;259.563,00;1.175.175.500,00;;;;;;;;;;
38;SONGOT / JAHAN;4.200,00;21.960.000,00;;;;;4.803,00;28.750.000,00;54.065,30;263.649.000,00;;;;;;;;;;
39;TONGKOL BAKOR;;;;;;;0,00;0,00;386.633,50;2.355.556.500,00;;;;;;;;;;
40;TONGKOL JABRIK;158.200,00;858.300.000,00;2.130,00;12.780.000,00;;;160.851,90;876.474.200,00;580.610,50;3.270.801.200,00;;;;;;;;;;
41;TONGKOL TUNA;20.940,00;209.400.000,00;4.760,00;47.600.000,00;;;25.700,00;257.000.000,00;287.638,00;2.602.417.500,00;;;;;;;;;;
42;TENGIRI;;;;;;;0,00;0,00;35,00;1.682.500,00;;;;;;;;;;
43;TANJAN;;;;;;;0,00;0,00;2.275,00;6.837.000,00;;;;;;;;;;
44;TERI;;;;;;;129,00;903.000,00;13.100,00;82.594.000,00;;;;;;;;;;
45;UBUR - UBUR;;;;;;;0,00;0,00;1.584,40;4.527.390,00;;;;;;;;;;
46;LAIN - LAIN;1.060,00;6.340.000,00;710,00;5.230.000,00;;;7.303,20;51.308.740,00;241.381,10;1.529.762.265,00;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;Jumlah;222.677,80;1.502.813.900,00;22.210,00;168.080.000,00;0,00;0,00;307.525,70;3.188.997.390,00;3.478.187,15;41.927.929.530,00;;;;;;;;;;
