PENJENISAN IKAN DAN UDANG;;;;;;;;;;;;;;;;;;;;;
DI TPI KABUPATEN CILACAP;;;;;;;;;;;;;;;;;;;;;
BULAN : OKTOBER  2017;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
NO;NAMA IKAN;KEMIREN;;SENTOLO KAWAT;;SIDAKAYA;;TEGAL KATILAYU;;LENGKONG;;;;;;;;;;;
;;Kg;Rp.;Kg;Rp.;Kg;Rp.;Kg;Rp.;Kg;Rp.;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
1;UDANG JERBUNG;;;;;14.497,00;2.538.082.820,00;;;;;;;;;;;;;;
2;UDANG DOGOL;676,50;67.650.000,00;;;1.145,70;64.909.380,00;143,60;5.026.000,00;88,00;3.080.000,00;;;;;;;;;;
3;UDANG TIGER;;;;;;;;;;;;;;;;;;;;
4;UDANG PECI;;;;;12.639,10;1.347.627.900,00;;;;;;;;;;;;;;
5;UDANG BARAT;;;;;;;;;;;;;;;;;;;;
6;UDANG REBON;34.804,10;167.050.800,00;10.646,00;31.938.000,00;;;139.214,00;897.373.500,00;43.458,00;156.819.000,00;;;;;;;;;;
7;UDANG KROSOK;20.781,50;519.222.500,00;;;19,00;380.000,00;36.163,10;932.072.500,00;30.063,00;641.207.000,00;;;;;;;;;;
8;BAWAL PUTIH;;;;;;;;;;;;;;;;;;;;
9;BAWAL HITAM;;;;;;;;;;;;;;;;;;;;
10;BLANAK;;;150,00;750.000,00;;;;;;;;;;;;;;;;
11;BALENG;;;;;;;;;;;;;;;;;;;;
12;CUCUT;;;;;;;;;;;;;;;;;;;;
13;CERMING;;;;;;;;;;;;;;;;;;;;
14;CAKALANG;;;;;;;;;;;;;;;;;;;;
15;CUMI - CUMI;;;;;;;;;;;;;;;;;;;;
16;KERONG;;;;;;;;;;;;;;;;;;;;
17;ETONG;;;;;;;;;;;;;;;;;;;;
18;GEROK;;;;;;;;;;;;;;;;;;;;
19;GOGOKAN;;;;;;;;;;;;;;;;;;;;
20;GEMBUNG;;;;;;;;;;;;;;;;;;;;
21;GABEL;;;;;;;;;;;;;;;;;;;;
22;KAKAP;;;;;;;;;;;;;;;;;;;;
23;KACANGAN;;;;;;;;;31,00;465.000,00;;;;;;;;;;
24;KEONG;;;;;;;;;;;;;;;;;;;;
25;LAYARAN;;;;;;;;;;;;;;;;;;;;
26;LAYUR;;;6.725,00;33.625.000,00;;;;;;;;;;;;;;;;
27;LEMERU / SIRO;;;;;;;;;;;;;;;;;;;;
28;LEMADANG;;;;;;;;;;;;;;;;;;;;
29;LIDAH;6.811,50;27.246.000,00;;;;;;;3.981,00;27.212.000,00;;;;;;;;;;
30;LEMBUTAN;;;;;;;;;;;;;;;;;;;;
31;MANYUNG;;;;;;;;;;;;;;;;;;;;
32;MEKA;;;;;;;;;;;;;;;;;;;;
33;MONTOK;1.559,00;12.472.000,00;;;;;;;843,00;1.264.500,00;;;;;;;;;;
34;MAMUNG;;;;;;;;;;;;;;;;;;;;
35;PARI / PEH;;;;;;;;;;;;;;;;;;;;
36;RAJUNGAN;;;;;;;;;;;;;;;;;;;;
37;RIJEK;;;;;;;;;;;;;;;;;;;;
38;SONGOT / JAHAN;;;10.038,00;100.380.000,00;;;;;197,00;1.773.000,00;;;;;;;;;;
39;TONGKOL BAKOR;;;;;;;;;;;;;;;;;;;;
40;TONGKOL JABRIK;;;;;;;;;;;;;;;;;;;;
41;TONGKOL TUNA;;;;;;;;;;;;;;;;;;;;
42;TENGIRI;;;;;;;;;;;;;;;;;;;;
43;TANJAN;;;;;;;;;;;;;;;;;;;;
44;TERI;;;950,00;9.500.000,00;;;;;;;;;;;;;;;;
45;UBUR - UBUR;;;;;;;;;2.886,00;2.597.400,00;;;;;;;;;;
46;LAIN - LAIN;7.596,60;32.311.100,00;59.188,00;98.573.000,00;;;4.815,30;36.092.270,00;2.141,00;3.772.500,00;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;Jumlah;72.229,20;825.952.400,00;87.697,00;274.766.000,00;28.300,80;3.951.000.100,00;180.336,00;1.870.564.270,00;83.688,00;838.190.400,00;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
PENJENISAN IKAN DAN UDANG;;;;;;;;;;;;;;;;;;;;;
DI TPI KABUPATEN CILACAP;;;;;;;;;;;;;;;;;;;;;
BULAN : OKTOBER  2017;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
NO;NAMA IKAN;PPSC;;B. DONAN / BATRE;;PANDANARANG;;JUMLAH;;JUMLAH S/D BLN INI;;;;;;;;;;;
;;Kg;Rp.;;;Kg;Rp.;Kg;Rp.;Kg;Rp.;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
1;UDANG JERBUNG;14.172,40;2.235.145.206,00;;;;;28.669,40;4.773.228.026,00;71.772,80;12.865.620.974,00;;;;;;;;;;
2;UDANG DOGOL;4.256,80;249.820.494,00;;;;;6.310,60;390.485.874,00;27.156,90;1.543.263.826,00;;;;;;;;;;
3;UDANG TIGER;14,50;3.321.200,00;;;;;14,50;3.321.200,00;78,90;16.059.200,00;;;;;;;;;;
4;UDANG LOBSTER;3.434,40;329.929.300,00;;;;;16.073,50;1.677.557.200,00;38.679,00;3.926.244.000,00;;;;;;;;;;
5;UDANG BARAT;;;;;38,00;1.444.000,00;38,00;1.444.000,00;3.504,20;47.649.900,00;;;;;;;;;;
6;UDANG REBON;12.159,00;60.795.000,00;;;;;240.281,10;1.313.976.300,00;2.970.012,00;17.194.627.150,00;;;;;;;;;;
7;UDANG KROSOK;4,20;71.400,00;;;;;87.030,80;2.092.953.400,00;551.817,90;7.296.042.875,00;;;;;;;;;;
8;BAWAL PUTIH;;;;;130,60;19.779.200,00;130,60;19.779.200,00;2.034,30;464.539.790,00;;;;;;;;;;
9;BAWAL HITAM;;;;;;;0,00;0,00;6.695,90;221.836.500,00;;;;;;;;;;
10;BLANAK;;;;;;;150,00;750.000,00;150,00;750.000,00;;;;;;;;;;
11;BALENG;;;;;129,00;3.225.000,00;129,00;3.225.000,00;272,50;6.812.000,00;;;;;;;;;;
12;CUCUT;22.022,00;81.610.000,00;;;;;22.022,00;81.610.000,00;518.271,00;2.108.657.000,00;;;;;;;;;;
13;CERMING;;;;;;;0,00;0,00;0,00;0,00;;;;;;;;;;
14;CAKALANG;;;23.579,00;165.053.000,00;;;23.579,00;165.053.000,00;210.560,00;1.266.242.200,00;;;;;;;;;;
15;CUMI - CUMI;104.428,00;497.640.000,00;6.600,00;34.307.000,00;;;111.028,00;531.947.000,00;221.267,00;1.081.967.000,00;;;;;;;;;;
16;KERONG;;;;;;;0,00;0,00;0,00;0,00;;;;;;;;;;
17;ETONG;;;;;;;0,00;0,00;118,00;354.000,00;;;;;;;;;;
18;GEROK;;;;;6,00;210.000,00;6,00;210.000,00;208,00;5.260.000,00;;;;;;;;;;
19;GOGOKAN;;;;;;;0,00;0,00;5.898,90;67.009.000,00;;;;;;;;;;
20;GEMBUNG;;;;;;;0,00;0,00;141,00;3.545.000,00;;;;;;;;;;
21;GABEL;;;;;1.314,50;3.943.500,00;1.314,50;3.943.500,00;3.368,50;8.051.500,00;;;;;;;;;;
22;KAKAP;;;;;;;0,00;0,00;46,00;1.800.000,00;;;;;;;;;;
23;KACANGAN;;;;;;;31,00;465.000,00;2.567,50;41.274.550,00;;;;;;;;;;
24;KEONG;;;;;;;0,00;0,00;0,00;0,00;;;;;;;;;;
25;LAYARAN;3.415,00;17.075.000,00;;;;;3.415,00;17.075.000,00;34.318,00;187.568.000,00;;;;;;;;;;
26;LAYUR;;;;;3.314,00;127.971.050,00;10.039,00;161.596.050,00;109.101,20;2.194.058.050,00;;;;;;;;;;
27;LEMERU / SIRO;;;;;;;0,00;0,00;0,00;0,00;;;;;;;;;;
28;LEMADANG;1.000,00;5.000.000,00;;;;;1.000,00;5.000.000,00;9.495,00;46.725.000,00;;;;;;;;;;
29;LIDAH;;;;;;;10.792,50;54.458.000,00;40.594,90;427.955.400,00;;;;;;;;;;
30;LEMBUTAN;;;;;131,00;131.000,00;131,00;131.000,00;103.971,00;249.694.750,00;;;;;;;;;;
31;MANYUNG;;;;;;;0,00;0,00;0,00;0,00;;;;;;;;;;
32;MEKA;2.000,00;10.000.000,00;;;;;2.000,00;10.000.000,00;29.236,00;180.816.000,00;;;;;;;;;;
33;MONTOK;;;;;73,00;1.095.000,00;2.475,00;14.831.500,00;9.136,80;90.070.500,00;;;;;;;;;;
34;MAMUNG;;;;;;;0,00;0,00;0,00;0,00;;;;;;;;;;
35;PARI / PEH;1.004,00;2.480.500,00;;;;;1.004,00;2.480.500,00;5.569,00;13.894.500,00;;;;;;;;;;
36;RAJUNGAN;;;;;;;0,00;0,00;0,00;0,00;;;;;;;;;;
37;RIJEK;;;13.000,00;52.000.000,00;;;13.000,00;52.000.000,00;136.565,00;571.475.000,00;;;;;;;;;;
38;SONGOT / JAHAN;;;;;236,00;2.360.000,00;10.471,00;104.513.000,00;26.305,50;209.002.000,00;;;;;;;;;;
39;TONGKOL BAKOR;26.855,00;129.775.000,00;;;;;26.855,00;129.775.000,00;330.231,00;2.006.123.000,00;;;;;;;;;;
40;TONGKOL JABRIK;146.241,80;723.359.000,00;;;;;146.241,80;723.359.000,00;857.443,90;4.337.912.000,00;;;;;;;;;;
41;TONGKOL TUNA;9.920,00;99.200.000,00;2.900,00;23.200.000,00;;;12.820,00;122.400.000,00;249.550,70;2.379.110.800,00;;;;;;;;;;
42;TENGIRI;;;;;109,00;3.815.000,00;109,00;3.815.000,00;7.040,80;205.046.900,00;;;;;;;;;;
43;TANJAN;;;;;35,00;70.000,00;35,00;70.000,00;352,00;772.000,00;;;;;;;;;;
44;TERI;;;;;;;950,00;9.500.000,00;24.701,00;206.846.000,00;;;;;;;;;;
45;UBUR - UBUR;;;;;;;2.886,00;2.597.400,00;4.188,90;6.089.820,00;;;;;;;;;;
